opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,_source_file,cache,capacity,form_factor,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_ibuypower_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,interface,lighting,metadata_last_manually_spec_verified_at,metadata_part_numbers,nvme,storage_type,type
240d9a0b-ebd1-4daf-9411-24767934b3ee,Western Digital PC SN730 256GB M.2-2280 SSD PCIe 3.0 X4 NVMe,Western Digital,PC,256GB,,240d9a0b-ebd1-4daf-9411-24767934b3ee.json,,256,M.2-2280,B09X2V87J6,,,,,,M.2 PCIe 3.0 x4,,,SDBPNTY-256G,True,SSD,SSD
24359bce-6d57-4407-9a3f-3ca0499211d3,Western Digital SN520 256GB SSD M.2 PCIe 3.0 NVMe,Western Digital,SN520,256GB,,24359bce-6d57-4407-9a3f-3ca0499211d3.json,,256,M.2-2280,,,,,,,M.2 PCIe 3.0 x2,,,SDAPNUW-256G,True,SSD,SSD
243c2981-146f-4d4c-a356-faa4ac490fcf,Klevv CRAS C910 Lite 1TB M.2-2280 SSD PCIe 4.0 NVMe,Klevv,CRAS,1000GB,,243c2981-146f-4d4c-a356-faa4ac490fcf.json,,1000,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,K01TBM2SP0-C9L,True,SSD,SSD
244a33c8-e935-49ea-9912-0ad91346e8db,Samsung 960 Evo 250GB SSD M.2-2280 PCIe 3.0 x4 NVMe,Samsung,960,250GB,,244a33c8-e935-49ea-9912-0ad91346e8db.json,,250,M.2-2280,B01LYFKX41,,,,9SIAADF99U3859,,M.2 PCIe 3.0 x4,,,MZ-V6E250 | MZ-V6E250BW,True,SSD,SSD
244c19d8-a430-470e-aa3e-060d8ba18ef2,"Seagate Barracuda 7200.10 160GB 3.5"" HDD 7200RPM SATA",Seagate,Barracuda,160GB,,244c19d8-a430-470e-aa3e-060d8ba18ef2.json,,160,"3.5""",,,,,,,SATA 3.0 Gb/s,,,ST3160815AS,False,HDD,HDD
24593542-a46c-44b1-be64-8d53e8dc763c,Corsair MP600 MINI 1TB SSD M.2-2230 PCIe 4.0 x4 NVMe,Corsair,MP600,1000GB,,24593542-a46c-44b1-be64-8d53e8dc763c.json,,1000,M.2-2230,B0C28HLKNB,,,,,,M.2 PCIe 4.0 x4,,,CSSD-F1000GBMP600MN,True,SSD,SSD
248a9f33-3106-4471-9947-b129394968ff,Intel 660p 2TB M.2-2280 SSD PCIe 3.0 x4 NVMe,Intel,660p,2000GB,,248a9f33-3106-4471-9947-b129394968ff.json,,2000,M.2-2280,B07GBGN7NH,,,,,528781900,M.2 PCIe 3.0 x4,,,SSDPEKNW020T801 | 1359069,True,SSD,SSD
248add02-8d90-42c6-b40e-c712922803f3,"Seagate SkyHawk AI 10TB 3.5"" HDD 7200RPM SATA",Seagate,SkyHawk,10000GB,,248add02-8d90-42c6-b40e-c712922803f3.json,,10000,"3.5""",B085RH2FR7,,,,,164341962,SATA 6.0 Gb/s,,,ST10000VE0008 | ST10000VEZ008 | ST10000VEZ08,False,HDD,HDD
249940cd-a53f-4fb8-adb5-5a99cf5baaff,Leven JPS850 2TB SSD M.2-2280 PCIe 4.0 X4 NVMe,Leven,JPS850,2000GB,,249940cd-a53f-4fb8-adb5-5a99cf5baaff.json,,2000,M.2-2280,,,,,,,M.2 PCIe 4.0 x4,,,JPS850-2TB | JPS850-2TB-Gen4,True,SSD,SSD
24abeff0-8b3b-4824-b585-47f4d0407cbf,Samsung 980 1TB SSD M.2-2280 PCIe 3.0 x4 NVMe,Samsung,980,1000GB,,24abeff0-8b3b-4824-b585-47f4d0407cbf.json,,1000,M.2-2280,B08V83JZH4,6454198,,,N82E16820147804,722100215,M.2 PCIe 3.0 x4,,,MZ-V8V1T0B | AM | MZ-V8V1T0BW | MZ-V8V1T0B/AM,True,SSD,SSD
