storage_id,motherboard_id,storage_capacity,storage_type,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
ec9bcdb7-3df1-4917-83df-0528f2e4c533,220e3303-8e5b-4110-a5ea-2c9e153f1ed4,2000.0,HDD,"3.5""",SATA 3.0 Gb/s,false,2280|2580|22110|25110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab78cf841c9bc5aa12fd""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ab78cf841c9bc5aa12fe""}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ab78cf841c9bc5aa12ff""}]",ATX,DDR5,0,0
09eb05ad-4a32-4044-b8f5-a90028d7f088,ccb1adf0-e54b-48f3-8083-cdc0d1488f9f,1000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac58ce32fbd088836c8a""}, {""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 1, ""_id"": ""69b3ac58ce32fbd088836c8b""}]",Micro ATX,DDR4,1,1
a91f8607-f4a1-454f-a5c6-e9dbee8b4074,9f021cb3-e8a1-428e-8a60-302147febfb9,4000.0,SSD,M.2-2280,M.2 PCIe 5.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ac2b3722c3e205bd3636""}]",Micro ATX,DDR5,1,1
9509608a-046b-4e38-a21e-a8a01a197dfd,38dd4534-9785-4e9f-95f2-df96a02fffba,1000.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2230|2242|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ab9bfe073ff824ef63a5""}]",EATX,DDR5,0,0
f223c97e-fe3f-426b-832e-0884b130cc0c,6efabc9b-eaf2-4c3c-a18b-8911cb582bec,2000.0,SSD,M.2-2242,M.2 PCIe 4.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abdb75ef0cf5df0154fb""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3abdb75ef0cf5df0154fc""}]",Micro ATX,DDR4,1,1
e7aa7ad6-7d85-4b66-9604-97e0b7f63ce0,169c9ea3-16fe-4128-87dc-65185cdb608d,1000.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab704fd4af70a349b72a""}]",Mini ITX,DDR4,1,1
911fe389-6077-40f2-8c42-ffc259988bd0,9b8c90e2-b4af-4fa1-820f-2567c4c614e8,512.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",Micro ATX,DDR5,0,0
ccd83132-1197-4959-a672-368e7da7c11e,807d472f-72f6-4ed6-a866-8196a725dadf,240.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280|22110,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1}]",ATX,DDR5,0,0
f1b06fd3-afb9-4f20-92d9-645d10c483f1,32a4c9ed-fe2f-4150-afce-22abb48349ee,240.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3ab96843b62bf624cc0bc""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ab96843b62bf624cc0bd""}]",ATX,DDR4,1,1
252e0a1d-bd20-4677-98a3-90f2bb51ff9b,452b2195-af67-432c-a88a-a1cb2796392f,1000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3abb7fe073ff824ef6e01""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3abb7fe073ff824ef6e02""}]",ATX,DDR4,0,0
22640c1f-21f9-405f-ba4c-191b88285c08,0b02e3d0-cd28-462b-860a-35d34f23ce3f,256.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ab71c0db8dfe4bc70628""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ab71c0db8dfe4bc70629""}]",Micro ATX,DDR4,1,1
610eef8c-3ce0-4949-ae01-7f19bd0204ab,46ca55b2-b8df-4342-b304-8134b19364d6,1000.0,HDD,"3.5""",SATA 3.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 16, ""_id"": ""69b3aba381594acde48fa1c6""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3aba381594acde48fa1c7""}]",ATX,DDR4,0,0
56640d83-ba87-4dd7-a6ba-734031afc56f,669f9769-4190-4ce2-a374-6c79a865465b,1000.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3abca7d50ea703049021d""}, {""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 1, ""_id"": ""69b3abca7d50ea703049021e""}]",ATX,DDR4,0,0
3f07f23c-c1e4-4bd6-a935-5e6cc40b47c7,d9a87c46-000b-44a7-aa1d-8294b080d64f,4000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2230|2242|2260|2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""3.0"", ""quantity"": 1, ""lanes"": 4}]",ATX,DDR5,1,1
eab434a5-6ade-4853-bbd2-a0cf0ee8ff24,e78a74ae-32c9-4a5e-b9c7-e62cc1e1f5aa,12000.0,HDD,"3.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 4, ""lanes"": 16, ""_id"": ""69b3ac9e7d50ea7030496eaf""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4, ""_id"": ""69b3ac9e7d50ea7030496eb0""}]",ATX,DDR4,0,0
5b635842-88a5-4d6d-b710-2c7b156c3be1,c74b7a65-f858-451b-82ac-23a40393db53,1000.0,SSD,M.2-2280,M.2 PCIe 4.0 x4,true,2260|2280,"[{""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 16}, {""gen"": ""5.0"", ""quantity"": 1, ""lanes"": 8}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 4}]",ATX,DDR5,1,1
9b7ac8ee-12d7-4558-b786-6733d9d42d7a,ccaa7c48-0b6f-4951-a805-6e7bf06cb48d,480.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac5875ef0cf5df018a1f""}, {""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 1, ""_id"": ""69b3ac5875ef0cf5df018a20""}]",Micro ATX,DDR4,0,0
51490451-69e6-40a1-a707-4d781abdcb5d,e3fa7e1c-7cc4-4274-9c0c-8edcda31e101,512.0,SSD,M.2-2280,M.2 PCIe 3.0 x4,true,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 1, ""lanes"": 16, ""_id"": ""69b3ac84fe073ff824efca13""}]",Mini ITX,DDR4,1,1
5fe1bbf3-2f2b-4b38-9b4e-334cdc94ffc6,8454ea3b-b6f2-41b8-ac16-1cf40f796e1d,256.0,SSD,"2.5""",SATA 6.0 Gb/s,false,2242|2260|2280,"[{""gen"": ""4.0"", ""quantity"": 2, ""lanes"": 16, ""_id"": ""69b3ac04b27c54a042d006ed""}, {""gen"": ""4.0"", ""quantity"": 3, ""lanes"": 1, ""_id"": ""69b3ac04b27c54a042d006ee""}]",ATX,DDR4,0,0
