cooler_id,case_id,cooler_fan_size,cooler_fan_quantity,radiator_size,cooler_height,case_cooler_clearance,height_difference,cooler_case_height_ok,case_form_factor,label
178d3182-bea4-491c-959b-e9714f36b838,57bc6f35-8a51-4b93-b286-da523f102729,,,360.0,69.0,170.0,101.0,1,ATX Full Tower,1
a8056ec8-5890-4139-8598-911918adcde0,3342308a-8f3f-4de6-b4f8-a651b448203a,,,360.0,55.0,165.0,110.0,1,Micro ATX Mini Tower,1
1166c9b3-a8a0-47c3-bc4f-a3bef54e0c3d,163c204d-d0bf-4d7b-a4b8-7fb860ed6f63,,,,157.0,160.0,3.0,1,ATX Mid Tower,1
97fd84df-7585-4732-b825-b5475425af9a,06b17a9b-7a6d-44fc-9e0b-08ffe4c2972d,,,,53.0,160.0,107.0,1,ATX Mini Tower,1
a3c0b7a6-e277-4eca-98f4-744e5aa6a750,c753bd9d-8598-4054-8739-fe05cdc75d5a,,,,158.0,67.0,-91.0,0,Mini ITX Tower,0
919fcb52-172c-42f9-87c2-e66b58e7c9f9,4b218f39-3e2f-4a21-9fb9-a2235b9a22db,,,,171.0,170.0,-1.0,0,ATX Mid Tower,0
c1878384-6bd5-4a64-afca-e6c6384e9e3d,b232b003-0e7a-4804-b8b1-b2448f99a6c2,,,,161.0,61.0,-100.0,0,Mini ITX Tower,0
c9c06a6a-94f7-43e8-9e15-ec3b571ac063,b9d0e3a0-f53e-4149-83b7-6e81e3f85dc8,,,,158.0,165.0,7.0,1,ATX Mid Tower,1
89c7efb6-64c5-43dc-8bc4-5515da737c13,db3e05b3-884f-42f5-836b-38338b235375,,,,154.0,70.0,-84.0,0,Mini ITX Tower,0
8982acbc-3c11-4b29-8674-82fa00cc6613,65dc1135-0ed9-4694-9048-44edbbdc9270,,,120.0,53.0,210.0,157.0,1,ATX Mid Tower,1
fb2c0a67-b820-4e52-b6c6-83f243075016,6ec84206-2456-402d-998a-c0cfef7dbf84,,,,161.0,160.0,-1.0,0,Micro ATX Mini Tower,0
f384f2fb-7b8f-4a0b-8ffe-45e5e4886687,1020d83d-76c2-41f4-bee0-272716223e83,120.0,2,,151.0,173.0,22.0,1,ATX Mid Tower,1
1d3f7ee1-6568-4a50-900d-1cdfd23a7d1b,84d5a271-2beb-405e-bf84-c7a98f5f5e97,,,,162.0,187.0,25.0,1,ATX Mid Tower,1
ce33bbd8-c9a4-4a26-a1d4-b2ad394df5e0,3b1f55d7-f7f7-47ec-abb7-0d4b5ae98510,,,,59.0,50.0,-9.0,0,Mini ITX Tower,0
0131cdb6-c53a-423c-921c-8cee085b1233,11ec6b37-24c2-4e1f-821f-bdfe476ebcd3,,,,165.0,150.0,-15.0,0,Micro ATX Mini Tower,0
537a6b2e-2bb7-4f42-baf6-a88e85be7d33,d8e6a220-4bb6-4ad9-95ad-be49980d11d2,,,,157.0,190.0,33.0,1,EATX Full Tower,1
f20d4085-f6d3-4be5-a68d-7a67876a48ca,4e8e319a-cd49-4977-bdcc-d268616f5e1f,,,,172.0,165.0,-7.0,0,ATX Mid Tower,0
8385acd9-d571-4e60-99eb-1eb5083f08ab,06fba849-864d-4331-84d6-eefe2eb07705,,,240.0,53.0,162.0,109.0,1,ATX Mid Tower,1
6f044ca4-424b-46dc-9a8f-94a704b48459,a847665f-da50-437b-a9ef-e89ada1bc75b,,,,157.0,140.0,-17.0,0,Mini ITX Tower,0
06b3d65a-02f1-494f-89a4-881c7fee049f,2d5a1a8d-f00c-4e92-b1d2-3ecc01b67b7d,,,,162.0,170.0,8.0,1,Micro ATX Mid Tower,1
9aa397f6-ab31-473f-8448-8d2601aba20d,c162a19a-f9f8-4726-8323-6e41c02221a6,,,,145.0,159.0,14.0,1,Micro ATX Mini Tower,1
c003e178-8f3f-44d8-9eb0-259dc42ef380,456a564c-2998-4260-b779-ee852852a829,,,420.0,68.0,75.0,7.0,1,Mini ITX Tower,1
2726294a-0c0e-44b9-9c4c-ba04927fac99,8f318898-b451-4e72-8df5-8facfbda2a09,,,360.0,62.0,180.0,118.0,1,ATX Mid Tower,1
36192832-7ce3-4735-b368-e46142fb568f,7c5a5a19-8883-47ba-90fd-cf4c53ae40b4,100.0,1,,94.0,210.0,116.0,1,ATX Mid Tower,1
f20d4085-f6d3-4be5-a68d-7a67876a48ca,dcb8af27-0343-4ac4-ae04-fd0ab8af8e4e,,,,172.0,140.0,-32.0,0,Mini ITX Tower,0
f8f33571-ce64-4c2b-be5a-9c776ee76d63,f08fe120-c339-456f-ab60-ee3b423620ad,,,,166.0,150.0,-16.0,0,Micro ATX Mini Tower,0
03aa26f2-4307-46c6-85b1-36ad768a12c6,811ea55d-5429-4cb5-b0e7-c70760f3f408,140.0,2,,158.0,155.0,-3.0,0,Micro ATX Mini Tower,0
685d2499-04b1-4ae5-ab87-a884955f883a,336024ff-6df8-4710-bd5f-b3c8ef276dd4,,,,153.0,67.0,-86.0,0,Mini ITX Tower,0
9d1e354c-f909-4ae1-a699-c5e21743e1cf,6bfeafe1-4e42-44cd-9be3-1f65a2b59a7d,,,240.0,62.0,61.0,-1.0,0,Mini ITX Tower,0
6f9ce0c4-3f64-4a02-b4a5-a1afdf5ccf3e,e2a8a106-39c9-418a-bc56-87c1f465c511,120.0,2,240.0,116.0,163.5,47.5,1,Micro ATX Mini Tower,1
b4981ce1-7198-4101-b784-5a99f5ad4b7b,f579622c-a4c5-4365-847e-ba5e9431a712,120.0,2,,155.0,187.0,32.0,1,Micro ATX Mini Tower,1
cb1f5b0e-2fcd-49df-a680-772d936a91ce,2d53135b-4ee8-4de0-ae01-27d091a48188,,,,158.0,155.0,-3.0,0,Micro ATX Mid Tower,0
dc52c629-8f5f-4b10-a1fb-96bedf3e2f01,5b6f105f-4d3d-43da-bde7-82366f44a486,,,,159.0,190.0,31.0,1,ATX Full Tower,1
