psu_id,case_id,psu_form_factor,psu_length,psu_wattage,psu_efficiency,case_psu_clearance,case_supported_psu,psu_form_factor_match,psu_length_ok,label
644b090e-5c34-4342-a7eb-5d37d9f362ac,03ba5c32-d37c-424d-a122-10a66cec4179,ATX,160.0,400.0,80+ GOLD,,SFX | SFX-L,0,1,0
db8c0bd8-f5c7-455a-b17d-0b9053211ce4,7f7b3e0c-03f6-42ca-a2ca-2575c2f6ec82,ATX,140.0,400.0,,,ATX,1,1,1
3f4ed55b-4461-4d3a-8675-a1fa39c542f5,ae63e487-6bfe-43ca-b79d-6cd6a3cb1707,Mini-ITX,150.0,400.0,80+ BRONZE,200.0,ATX,0,1,0
a7770460-34b2-4f1f-89b7-3764125ddf65,1c24fb75-b2a5-40bb-91dc-33031c9035a9,SFX,130.0,1000.0,80+ PLATINUM,,ATX,0,1,0
8e6e4171-8dec-4e61-9e75-f088547038d1,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,ATX,140.0,750.0,80+ GOLD,,Flex ATX,0,1,0
f06c1b0f-e7e4-4a54-9ad6-ae8d5ab632d8,95af7ccd-f5cd-4b4a-875d-8a59b0d82e62,SFX,100.0,500.0,80+ GOLD,200.0,ATX,0,1,0
c9b57feb-2e44-4134-9f82-e3b562f29e5b,96c9c755-93db-49b5-8d4c-e3c5a9dcf77c,TFX,146.0,300.0,,200.0,ATX,0,1,0
617a107e-5319-4d4c-8bb5-cc4af2ba93c4,ee103b4b-fd54-49e3-b989-df5d12e5dae9,ATX,160.0,800.0,80+ BRONZE,220.0,ATX,1,1,1
e544099a-38be-44ec-834a-2802432dd1ad,0a4e3be9-0866-411f-a1be-dcb4055b767e,ATX,140.0,1200.0,80+ PLATINUM,,ATX,1,1,1
c5740566-d223-4897-999b-b17f0eeecd97,faf380e2-a1ce-4442-ad9e-161f70c64d35,ATX,182.0,750.0,80+ GOLD,180.0,ATX,1,0,0
265d371c-5c3b-4f30-88e6-3fdd1e9c36b3,e519477a-b9ff-42f0-833a-21db0890e33a,ATX,180.0,1200.0,80+ PLATINUM,220.0,ATX,1,1,1
b0717dde-ff04-4d09-946c-02ca5de937e1,3baf22f5-e281-4045-82ca-d2ac029bb649,SFX,100.0,550.0,80+ GOLD,265.0,ATX,0,1,0
3d9dc40d-fb44-4aa8-9c52-846ac85648f6,c1929670-8da8-4ecf-a40c-2e3116279251,ATX,139.0,550.0,80+ BRONZE,180.0,ATX,1,1,1
a625b5fd-41d9-44c2-81f5-23673fe8e373,a46a072e-5bb7-49bd-bea7-4c1d9baa570d,ATX,,750.0,80+ BRONZE,180.0,ATX,1,1,1
09c92231-5a4f-4a2c-897c-8d5e7ea1db80,c0bdc85e-bd7e-4a1d-8e78-d1e0888bb174,ATX,218.0,1350.0,80+,240.0,ATX,1,1,1
7efe7810-830e-4199-92d6-f5c869c07a7a,bd74c68b-337a-4aa3-acb1-a89a4ea6ef1c,TFX,175.0,300.0,80+ BRONZE,,ATX,0,1,0
73aa2fec-01ee-430d-81c9-a04c5c0380e3,71d9e671-5494-4ede-b0e0-5625804f70a0,SFX,125.0,500.0,80+ GOLD,150.0,ATX,0,1,0
f9a41ff5-116e-4e30-a0c6-2f1cae11ae83,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,ATX,,650.0,80+ GOLD,,Flex ATX,0,1,0
a701ac94-267b-4506-b347-2fe702402b22,fd263975-75c0-473d-964c-71b1df4ad722,ATX,190.0,1250.0,80+ GOLD,180.0,ATX,1,0,0
f43b14de-2236-4e51-8616-a52e317277a2,51b2027c-caff-483f-9398-25f2b30cd0d9,ATX,160.0,460.0,80+ SILVER,,SFX | SFX-L,0,1,0
d63d18be-8786-4790-ae34-7147fe3befba,7c3451cf-80fc-4040-a23a-a83bdb494606,ATX,154.0,550.0,80+,180.0,ATX,1,1,1
4ae2ca64-ddbc-452a-94dc-f3798245b7be,51b2027c-caff-483f-9398-25f2b30cd0d9,ATX,150.0,1300.0,80+ PLATINUM,,SFX | SFX-L,0,1,0
dd03fa30-d6a7-4d81-86f5-6b7276c2816f,fd263975-75c0-473d-964c-71b1df4ad722,SFX,130.0,800.0,80+ TITANIUM,180.0,ATX,0,1,0
1767609e-22c3-48fb-921f-9353e25f5e13,e9d87f70-80d3-45d7-8253-351b6a240277,ATX,150.0,650.0,80+ GOLD,220.0,ATX,1,1,1
99c9789d-1b58-4f27-8700-c31bc2115bf3,cd4568b7-29a5-4ed2-b85f-97738ea155c9,ATX,140.0,500.0,80+ BRONZE,,ATX,1,1,1
0060a485-c883-4d82-b909-932ca919e345,11e609ff-a638-4e8b-856b-2eb116615667,ATX,140.0,650.0,,,SFX | SFX-L,0,1,0
cd71034d-fc11-497d-83b3-9953f49ce39f,a665c556-dbb3-47bf-afa6-a561d66c6f0f,SFX,130.0,500.0,80+ GOLD,250.0,ATX,0,1,0
bba6296b-a4d9-48cb-b7c5-5ff25262ea42,d332c44c-10ba-45cc-94cc-41067d7d869c,ATX,140.0,850.0,80+ PLATINUM,223.0,ATX,1,1,1
1b3e2768-7b4e-4e0c-a20f-77293cdb60e4,11e609ff-a638-4e8b-856b-2eb116615667,ATX,180.0,1250.0,80+ GOLD,,SFX | SFX-L,0,1,0
aebc41d3-d608-4dbb-a5a1-5f900f7d18b8,d376a58d-c9f6-43a8-a79f-c9a750a76310,ATX,,700.0,,160.0,ATX,1,1,1
169b18d4-e457-417e-aa28-9b1f5d1a9370,a94dbf7d-13a8-4454-8dd2-8570bb1bc56c,Mini-ITX,,200.0,,200.0,ATX,0,1,0
52011b80-0103-4533-9504-593442270bca,75b8fa59-986c-4cbc-9dcc-c6574428233c,ATX,160.0,850.0,80+ GOLD,220.0,ATX,1,1,1
29e79d79-1d20-4ae1-8fdf-a482796704a7,2cdb73d3-dc39-4494-a96e-bf7e20cfbcf8,ATX,218.0,1500.0,80+ SILVER,200.0,ATX,1,0,0
8e50ffed-6140-4384-bd5b-c5eba7ee447e,11e609ff-a638-4e8b-856b-2eb116615667,ATX,140.0,450.0,80+,,SFX | SFX-L,0,1,0
c1b44cbc-12c7-4368-b409-77210e12874e,691cade7-28ae-4b98-93ed-f95766f3f0a6,ATX,160.0,1000.0,80+ GOLD,223.0,ATX,1,1,1
166c79fd-547f-4d38-a6ff-1e215d1a3764,f302b257-e678-4bb4-b304-cb09ed521e7c,ATX,180.0,1050.0,80+ GOLD,220.0,ATX,1,1,1
4ca92f50-2632-4da4-8417-034bf3a0d4e1,3e765ce5-3444-405e-b510-9d9aa6776a91,ATX,140.0,550.0,80+ BRONZE,,ATX,1,1,1
d37d81b2-f03a-4385-bff5-245db03e21f5,7c3451cf-80fc-4040-a23a-a83bdb494606,ATX,140.0,850.0,80+ GOLD,180.0,ATX,1,1,1
d7ea1882-9ef0-4b95-94ef-c8069bdb4132,567bd931-f8c0-4420-befe-c6d26862d612,SFX,100.0,750.0,80+ GOLD,,ATX,0,1,0
8ca37fdc-5278-412e-9893-ab469f9e52cc,a14ff72c-24d6-46cb-874f-b0eb9a6e1b65,ATX,140.0,550.0,80+ BRONZE,220.0,ATX,1,1,1
1e7911f0-f4d8-42f8-a1a3-4fea05536205,55b94e26-2495-4727-acff-6ac025396bcd,ATX,180.0,750.0,80+ GOLD,200.0,ATX,1,1,1
64c87a56-205a-4a21-b3fe-09979617417b,d8386c8a-21c4-4479-9020-4bab37846013,ATX,170.0,1000.0,80+ GOLD,,SFX | SFX-L,0,1,0
641dfcd9-0b55-4567-8387-4664ccae9f24,95af7ccd-f5cd-4b4a-875d-8a59b0d82e62,Flex ATX,150.0,500.0,80+ PLATINUM,200.0,ATX,0,1,0
b3c80152-e634-4810-af08-24f4c7cc52bc,5509f5a5-44e2-4693-8824-9a016a48e197,ATX,150.0,650.0,80+ BRONZE,220.0,ATX,1,1,1
73aa2fec-01ee-430d-81c9-a04c5c0380e3,51f73554-bf24-4a1f-bd6d-85936a4770dc,SFX,125.0,500.0,80+ GOLD,,ATX,0,1,0
8e8964bd-db8f-4f82-97da-2f694f46ee8c,948b8007-fa96-47ee-aae1-b30ca6758058,ATX,200.0,1250.0,80+ PLATINUM,160.0,ATX,1,0,0
3b6e8411-60e0-4fc9-9d79-0488fa1cd962,691766a4-9674-4218-8b06-f6dd44ed95bb,SFX,130.0,1200.0,,,ATX,0,1,0
9ae9d1a7-5033-4303-876d-638794fba9c3,3baf22f5-e281-4045-82ca-d2ac029bb649,ATX,140.0,1000.0,80+ GOLD,265.0,ATX,1,1,1
01467667-ee75-4810-8d4d-dbc76dc815d0,cb249036-862a-4d15-b65d-ff6a100866af,SFX,130.0,1000.0,80+ GOLD,240.0,ATX,0,1,0
a07795bb-ea74-44ee-ae41-27d00ea59cdc,38e47072-dd15-40c5-b299-d1b90c7f597c,ATX,140.0,550.0,80+ BRONZE,,ATX,1,1,1
8ee51025-c360-400d-b551-7a65f72bce79,456a564c-2998-4260-b779-ee852852a829,ATX,160.0,850.0,80+ GOLD,,SFX | SFX-L,0,1,0
bd338a9d-223d-4131-a56c-b3f21c036231,d376a58d-c9f6-43a8-a79f-c9a750a76310,ATX,165.0,485.0,,160.0,ATX,1,0,0
09c92231-5a4f-4a2c-897c-8d5e7ea1db80,de186213-df2d-445e-a57a-26bdcde3e997,ATX,218.0,1350.0,80+,200.0,ATX,1,0,0
e544099a-38be-44ec-834a-2802432dd1ad,d0106884-7bd0-4c86-a123-fe1befd7e825,ATX,140.0,1200.0,80+ PLATINUM,220.0,ATX,1,1,1
5ea998f9-a929-44c3-b926-a9b4037e1dcd,81f0834f-699c-4a14-8528-070fd8326421,ATX,139.0,450.0,80+,,ATX,1,1,1
fe21010c-63ca-4369-90f7-cdf45d0af791,0a4e3be9-0866-411f-a1be-dcb4055b767e,ATX,180.0,720.0,80+ BRONZE,,ATX,1,1,1
644b090e-5c34-4342-a7eb-5d37d9f362ac,3baf22f5-e281-4045-82ca-d2ac029bb649,ATX,160.0,400.0,80+ GOLD,265.0,ATX,1,1,1
5ef3b8bd-a15e-4d40-ad9c-724e36836a68,51b2027c-caff-483f-9398-25f2b30cd0d9,ATX,140.0,550.0,80+ GOLD,,SFX | SFX-L,0,1,0
0f670965-1852-451e-a9fe-f9f55abef09a,d8386c8a-21c4-4479-9020-4bab37846013,ATX,140.0,600.0,80+ GOLD,,SFX | SFX-L,0,1,0
3f08f8ad-c2d1-48b3-a162-ef76c345119e,53eceab5-26db-446d-984f-34f3590f3f17,ATX,149.0,650.0,80+ GOLD,220.0,ATX,1,1,1
e78af1dc-806a-4211-9cf9-bf1ac63b5bc8,410188d1-1b41-4e31-9852-7697c5d91bec,ATX,140.0,550.0,80+ GOLD,160.0,ATX,1,1,1
f247e6c4-613b-4b4f-b03d-cc828e577f16,517f12f3-4679-4d13-8832-0fcd2c2a40ea,SFX,99.0,850.0,80+ GOLD,,ATX,0,1,0
c7740cd8-6428-48b4-aafc-e8410a5fa791,9bb5bd48-6564-4a15-bb8a-7d164f88ee49,ATX,160.0,1300.0,80+ PLATINUM,,Flex ATX,0,1,0
3beffa58-3f64-4f1a-844f-376b3734a431,d376a58d-c9f6-43a8-a79f-c9a750a76310,ATX,180.0,1375.0,80+ PLATINUM,160.0,ATX,1,0,0
70d3c1f3-6305-42bf-8c26-1f990f49da28,928046a4-02df-4779-a80d-4d5b24b1e77f,SFX,100.0,450.0,80+ GOLD,180.0,ATX,0,1,0
d4e8256a-5a3f-42b5-952a-3b27ac6ee528,42d47c5a-8e21-4da9-ba4e-ea55290ce616,ATX,160.0,800.0,80+ BRONZE,,ATX,1,1,1
895e7987-8f9f-4545-a5ec-007b5aa1aa41,b1950adb-ebfb-4eeb-ac20-d7575e7afc0a,ATX,180.0,1200.0,80+ PLATINUM,220.0,ATX,1,1,1
9f96977f-36f4-4d29-abf7-367db6c7390d,2ca8aecb-0f6e-4941-87f2-2f584a5a046a,Mini-ITX,150.0,300.0,80+ BRONZE,180.0,ATX,0,1,0
c8f2deb5-eb43-4a6c-bc54-0b006560d99f,76b32004-e61d-4fc3-a648-0719d1f5fdc5,Mini-ITX,150.0,220.0,,,ATX,0,1,0
8ceb0ad4-9df3-426d-a058-b9ce456544f7,1c2b21fc-ea2f-4803-ac59-83305a2442fc,ATX,165.0,1000.0,80+ GOLD,223.0,ATX,1,1,1
051cdabd-26a5-4ac7-9c83-812ffd743266,0a4e3be9-0866-411f-a1be-dcb4055b767e,ATX,165.0,1000.0,80+ GOLD,,ATX,1,1,1
9da7b0ea-6114-4bf6-8ba3-7c921d0f3dcc,9b794a26-bde0-476e-81fe-ca80cae11738,ATX,140.0,850.0,80+ GOLD,223.0,ATX,1,1,1
18d4868d-e487-4636-8ce8-55f8e6d5641e,ae63e487-6bfe-43ca-b79d-6cd6a3cb1707,ATX,160.0,750.0,80+ GOLD,200.0,ATX,1,1,1
1da156ef-53ec-49d6-94e2-64e1b0c053c5,c1929670-8da8-4ecf-a40c-2e3116279251,ATX,165.0,600.0,80+ BRONZE,180.0,ATX,1,1,1
75b73f8f-a59a-4b3b-b1de-e7f64c3e1cc6,81721d18-7067-4bde-8b98-0f9c8cb25af9,ATX,170.0,1050.0,80+ GOLD,,SFX | SFX-L,0,1,0
e3c588c2-d452-4700-b8b8-1ca5397f1eb9,2cd916b5-a8f5-4646-9ac3-edb1631f9ba0,SFX,130.0,500.0,80+ GOLD,180.0,ATX,0,1,0
6e6769f6-ff8d-4669-89a8-9308441799bd,f130958a-c06d-4773-8f16-8326ccd1799a,ATX,140.0,500.0,80+ GOLD,,ATX,1,1,1
f75bfa00-b690-48cf-868e-90f5cb7a7fd7,c0b0a371-7237-4b22-868d-00f633dc1aa0,ATX,150.0,1000.0,80+ GOLD,,ATX,1,1,1
60304141-ea84-4053-b0c9-c71fc5ec56e7,42d93091-c824-480a-b77b-ce7be1628e4a,ATX,165.0,800.0,80+ BRONZE,160.0,ATX,1,0,0
e1c0ff81-1b99-4412-ad56-627c5eee74ce,397a6df3-efca-4fc5-b81f-29c878a9f283,ATX,150.0,750.0,80+ BRONZE,,ATX,1,1,1
d3ade2c0-6436-45a2-819a-890461737326,81721d18-7067-4bde-8b98-0f9c8cb25af9,ATX,140.0,350.0,80+,,SFX | SFX-L,0,1,0
3fb93df7-75e2-48dc-aaed-8e0259e60269,fd263975-75c0-473d-964c-71b1df4ad722,ATX,160.0,1000.0,80+ GOLD,180.0,ATX,1,1,1
d614eccf-74ee-443a-9fa5-58d7e933653c,03ba5c32-d37c-424d-a122-10a66cec4179,ATX,140.0,850.0,80+ GOLD,,SFX | SFX-L,0,1,0
786f0f3c-bd3d-4074-9c40-a8130b565d10,bf866219-af85-40e9-94e1-cff6f4ddd63d,ATX,140.0,650.0,80+,200.0,ATX,1,1,1
bcd5ee79-9e2d-48f1-a8bd-9c102626b37e,346e977f-72ea-48ac-821e-a6d0779f54f0,ATX,165.0,550.0,80+ BRONZE,,ATX,1,1,1
7e0193d3-4d18-4739-9fde-2c9c1c1bc0d6,ec96cfae-5081-4cdf-a0ec-48731e0fefa8,ATX,180.0,1050.0,80+ PLATINUM,220.0,ATX,1,1,1
b23deb79-52f2-45ad-abf2-8a52f9b32bd8,86816bd7-32e5-4493-a219-c70e72d4dec6,ATX,180.0,1050.0,80+ PLATINUM,250.0,ATX,1,1,1
da01a7b8-48a6-44b1-a964-cfc90cd9e269,3dabc329-0636-405b-875b-142f36f7a81b,ATX,230.0,2000.0,80+ GOLD,180.0,ATX,1,0,0
8dd4a378-6682-4708-af03-9b2cac87fdf8,e519477a-b9ff-42f0-833a-21db0890e33a,ATX,160.0,650.0,80+ BRONZE,220.0,ATX,1,1,1
213d07be-5eb4-40f8-b6e3-1155ef270952,03ba5c32-d37c-424d-a122-10a66cec4179,ATX,140.0,650.0,80+ BRONZE,,SFX | SFX-L,0,1,0
805b843c-3695-4524-9101-b01d6c773159,7c3451cf-80fc-4040-a23a-a83bdb494606,ATX,200.0,1200.0,80+,180.0,ATX,1,0,0
a91b20cf-55c7-4174-a2d8-89d3d8c27dd8,9fadd423-7e08-4348-a3cd-d08c3a8f017e,SFX,100.0,550.0,80+ GOLD,,ATX,0,1,0
69d7a4da-adba-4a05-81d6-8cb7cdab6c33,b4d77dab-cb42-4348-8206-e4fd473e34ca,ATX,140.0,500.0,80+,,ATX,1,1,1
6c0006ac-6eba-4f7d-936e-4ffe502af59b,710aa4bc-84c4-4176-8d3f-287d510cbb63,SFX,100.0,650.0,80+ PLATINUM,223.0,ATX,0,1,0
3c967ec6-e882-40f0-aa17-749a29efd486,bc5d8359-89a9-4a80-92b9-3ab05f3f1c80,SFX,100.0,750.0,80+ GOLD,210.0,ATX,0,1,0
9cb931d5-608e-4312-b0c5-6551d3a983da,53eceab5-26db-446d-984f-34f3590f3f17,SFX,100.0,650.0,80+ PLATINUM,220.0,ATX,0,1,0
8cdf9936-7090-4e92-a873-2bfbdde106e2,03ba5c32-d37c-424d-a122-10a66cec4179,ATX,160.0,520.0,80+ BRONZE,,SFX | SFX-L,0,1,0
bc463d30-67bb-45a1-ba11-b289d1187ac5,a46a072e-5bb7-49bd-bea7-4c1d9baa570d,ATX,160.0,750.0,80+ GOLD,180.0,ATX,1,1,1
