cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,label
162.0,185.0,,,,ATX Mid Tower,23.0,1
148.0,70.0,,,,Mini ITX Tower,-78.0,0
172.0,156.0,,,,ATX Mid Tower,-16.0,0
156.0,190.0,,,,ATX Mid Tower,34.0,1
66.0,170.0,,,,ATX Mid Tower,104.0,1
154.0,210.0,,,,Micro ATX Mid Tower,56.0,1
160.0,155.0,,,,Micro ATX Mini Tower,-5.0,0
58.0,47.0,,,,Micro ATX Desktop,-11.0,0
165.0,61.0,,,,Mini ITX Tower,-104.0,0
160.0,155.0,,,,ATX Mid Tower,-5.0,0
186.0,180.0,120.0,3,360.0,ATX Mid Tower,-6.0,0
167.0,156.0,,,,Micro ATX Mid Tower,-11.0,0
86.4,185.0,120.0,3,360.0,ATX Mid Tower,98.6,1
155.0,68.0,,,,Mini ITX Tower,-87.0,0
94.5,169.0,120.0,1,,ATX Mid Tower,74.5,1
142.0,176.0,,,,ATX Mid Tower,34.0,1
158.0,170.0,,,,ATX Mid Tower,12.0,1
137.0,165.0,,,,ATX Mid Tower,28.0,1
154.0,47.0,,,,Micro ATX Desktop,-107.0,0
69.0,164.0,,,240.0,ATX Mid Tower,95.0,1
159.0,155.0,,,,Micro ATX Mid Tower,-4.0,0
72.0,70.0,120.0,3,360.0,HTPC,-2.0,0
159.0,155.0,,,,ATX Mid Tower,-4.0,0
170.0,165.0,,,,ATX Mid Tower,-5.0,0
59.0,175.0,,,360.0,ATX Mid Tower,116.0,1
125.0,175.0,120.0,3,360.0,ATX Full Tower,50.0,1
162.0,159.0,,,,Micro ATX Mini Tower,-3.0,0
37.0,145.0,,,,ATX Mid Tower,108.0,1
84.0,65.0,,,,HTPC,-19.0,0
157.0,167.0,140.0,2,280.0,ATX Mid Tower,10.0,1
52.0,180.0,,,360.0,ATX Mid Tower,128.0,1
154.0,166.0,,,,Micro ATX Mini Tower,12.0,1
157.0,156.0,,,,Micro ATX Mid Tower,-1.0,0
75.0,190.0,,,,ATX Full Tower,115.0,1
60.0,175.0,,,360.0,Micro ATX Mini Tower,115.0,1
160.0,82.0,,,,Micro ATX Mid Tower,-78.0,0
165.0,205.0,,,,ATX Full Tower,40.0,1
125.0,190.0,120.0,3,360.0,ATX Mid Tower,65.0,1
165.0,180.0,,,,ATX Mid Tower,15.0,1
158.0,57.0,120.0,2,,Micro ATX Desktop,-101.0,0
158.0,70.0,,,,Mini ITX Tower,-88.0,0
154.0,160.0,,,,ATX Mid Tower,6.0,1
54.0,48.0,,,360.0,Mini ITX Tower,-6.0,0
165.0,160.0,,,,ATX Mid Tower,-5.0,0
53.0,155.0,120.0,2,240.0,Micro ATX Mid Tower,102.0,1
78.0,160.0,120.0,3,360.0,ATX Mid Tower,82.0,1
160.0,166.0,135.0,1,,Micro ATX Mini Tower,6.0,1
157.0,83.0,,,,Mini ITX Tower,-74.0,0
25.0,175.0,,,,Mini ITX Tower,150.0,1
160.0,58.0,,,,HTPC,-102.0,0
166.0,180.0,120.0,,,ATX Mid Tower,14.0,1
159.0,167.0,,,,Micro ATX Mini Tower,8.0,1
153.0,38.0,,,,Mini ITX Tower,-115.0,0
151.0,140.0,,,,Mini ITX Tower,-11.0,0
169.0,150.0,,,,ATX Mid Tower,-19.0,0
154.0,165.0,,,,Micro ATX Mini Tower,11.0,1
135.0,154.0,,,,Micro ATX Mid Tower,19.0,1
64.0,185.0,,,360.0,ATX Full Tower,121.0,1
161.0,157.0,120.0,3,360.0,Micro ATX Mini Tower,-4.0,0
71.0,68.0,,,,Mini ITX Tower,-3.0,0
159.0,70.0,,,,Mini ITX Tower,-89.0,0
159.0,156.0,,,,Micro ATX Mid Tower,-3.0,0
89.8,166.0,120.0,3,360.0,ATX Mid Tower,76.2,1
158.0,155.0,,,,ATX Mid Tower,-3.0,0
77.0,166.0,,,,ATX Mid Tower,89.0,1
62.0,156.0,,,240.0,ATX Mid Tower,94.0,1
158.0,166.0,,,,ATX Mid Tower,8.0,1
58.0,160.0,,,240.0,ATX Mid Tower,102.0,1
165.0,160.0,,,,ATX Mid Tower,-5.0,0
157.0,150.0,,,,Mini ITX Tower,-7.0,0
145.0,164.0,,,,Micro ATX Desktop,19.0,1
158.0,155.0,,,,ATX Mid Tower,-3.0,0
158.0,156.0,,,,ATX Mid Tower,-2.0,0
160.0,140.0,120.0,1,,Mini ITX Tower,-20.0,0
158.0,160.0,140.0,2,,Micro ATX Mini Tower,2.0,1
169.0,165.0,,,,ATX Mid Tower,-4.0,0
47.0,170.0,,,360.0,Micro ATX Mid Tower,123.0,1
47.0,155.0,,,,Micro ATX Mini Tower,108.0,1
158.0,155.0,,,,Mini ITX Tower,-3.0,0
154.0,180.0,,,,ATX Mid Tower,26.0,1
59.0,167.0,,,360.0,ATX Mid Tower,108.0,1
157.0,67.0,,,,Mini ITX Tower,-90.0,0
152.0,165.0,,,,ATX Mid Tower,13.0,1
166.0,160.0,,,,ATX Mid Tower,-6.0,0
125.0,170.0,,,240.0,ATX Mid Tower,45.0,1
160.0,163.0,,,,ATX Mid Tower,3.0,1
154.0,185.0,120.0,2,,ATX Mid Tower,31.0,1
148.0,174.0,,,,ATX Mid Tower,26.0,1
123.0,83.0,,,,Mini ITX Tower,-40.0,0
159.0,155.0,,,,Micro ATX Mini Tower,-4.0,0
68.0,165.0,,,240.0,Micro ATX Mid Tower,97.0,1
107.0,88.2,120.0,3,360.0,ATX Mid Tower,-18.8,0
123.0,162.0,,,,Micro ATX Mid Tower,39.0,1
69.0,65.0,120.0,3,360.0,Mini ITX Tower,-4.0,0
155.0,70.0,120.0,1,,Mini ITX Tower,-85.0,0
58.0,48.0,,,360.0,Mini ITX Tower,-10.0,0
157.0,110.0,,,,Mini ITX Tower,-47.0,0
157.0,155.0,,,,ATX Mid Tower,-2.0,0
52.0,165.0,,,240.0,ATX Mid Tower,113.0,1
148.0,145.0,,,,ATX Mid Tower,-3.0,0
150.0,169.0,,,,ATX Mid Tower,19.0,1
41.0,160.0,,,,ATX Mid Tower,119.0,1
121.0,160.0,,,,ATX Mid Tower,39.0,1
169.0,160.0,,,,ATX Mid Tower,-9.0,0
158.0,165.0,,,,ATX Mid Tower,7.0,1
148.0,140.0,,,,Mini ITX Tower,-8.0,0
163.0,85.0,,,,Mini ITX Tower,-78.0,0
135.0,170.0,,,,ATX Mid Tower,35.0,1
78.0,170.0,,,,ATX Mid Tower,92.0,1
155.0,65.0,,,,Mini ITX Tower,-90.0,0
56.0,48.0,,,240.0,Mini ITX Tower,-8.0,0
56.0,170.0,140.0,2,280.0,ATX Mid Tower,114.0,1
54.0,165.0,,,360.0,Micro ATX Mini Tower,111.0,1
67.0,58.0,,,,HTPC,-9.0,0
157.0,185.0,,,,ATX Full Tower,28.0,1
67.0,38.0,,,,Mini ITX Tower,-29.0,0
160.0,175.0,,,,ATX Mid Tower,15.0,1
165.0,160.0,,,,ATX Mid Tower,-5.0,0
69.0,185.0,,,,ATX Mid Tower,116.0,1
153.0,151.0,,,,ATX Mid Tower,-2.0,0
166.0,160.0,,,,ATX Mid Tower,-6.0,0
159.0,195.0,,,,ATX Mid Tower,36.0,1
158.0,156.0,,,,ATX Mid Tower,-2.0,0
150.0,159.0,,,,Micro ATX Mini Tower,9.0,1
56.0,165.0,,,280.0,ATX Mid Tower,109.0,1
159.0,88.2,,,,ATX Mid Tower,-70.8,0
75.0,183.0,120.0,2,240.0,ATX Mid Tower,108.0,1
169.0,165.0,120.0,2,,ATX Mid Tower,-4.0,0
142.0,195.0,,,,ATX Full Tower,53.0,1
157.0,150.0,,,,Micro ATX Mid Tower,-7.0,0
45.0,190.0,,,,ATX Full Tower,145.0,1
166.0,182.0,,,,ATX Mid Tower,16.0,1
160.0,170.0,,,,ATX Mid Tower,10.0,1
169.0,165.0,,,,ATX Mid Tower,-4.0,0
158.0,155.0,,,,ATX Mid Tower,-3.0,0
45.0,169.0,,,,ATX Mid Tower,124.0,1
160.0,157.0,,,,ATX Mid Tower,-3.0,0
94.0,83.0,120.0,3,360.0,Mini ITX Tower,-11.0,0
158.0,156.0,,,,ATX Mid Tower,-2.0,0
52.0,175.0,120.0,2,240.0,ATX Mid Tower,123.0,1
78.0,48.0,120.0,3,360.0,Mini ITX Tower,-30.0,0
95.0,77.0,,,,Mini ITX Tower,-18.0,0
73.0,166.0,120.0,3,360.0,ATX Mid Tower,93.0,1
153.0,150.0,,,,ATX Mid Tower,-3.0,0
30.0,169.0,,,,ATX Mid Tower,139.0,1
47.0,190.0,,,,ATX Full Tower,143.0,1
166.0,165.0,,,,ATX Mid Tower,-1.0,0
158.0,150.0,,,,ATX Mid Tower,-8.0,0
160.0,158.0,,,,ATX Full Tower,-2.0,0
159.0,70.0,,,,Mini ITX Tower,-89.0,0
153.0,61.0,,,,Mini ITX Tower,-92.0,0
155.0,82.0,,,,Micro ATX Desktop,-73.0,0
157.0,180.0,,,,ATX Mid Tower,23.0,1
69.0,190.0,,,,ATX Mid Tower,121.0,1
100.0,185.0,,,,Micro ATX Mid Tower,85.0,1
84.0,170.0,360.0,3,360.0,EATX Mid Tower,86.0,1
159.0,170.0,120.0,1,,ATX Mid Tower,11.0,1
77.0,95.0,,,,ATX Mid Tower,18.0,1
160.0,167.0,,,,ATX Mid Tower,7.0,1
150.0,160.0,,,,ATX Mid Tower,10.0,1
155.0,38.0,,,,Mini ITX Tower,-117.0,0
