psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,label
1200.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
1500.0,ATX,200.0,80+ GOLD,ATX,,1
650.0,ATX,140.0,80+ GOLD,ATX,200.0,1
600.0,SFX,130.0,80+ BRONZE,ATX,,0
300.0,SFX,100.0,80+ BRONZE,ATX,220.0,0
750.0,ATX,182.0,80+ GOLD,SFX | SFX-L,,0
700.0,ATX,160.0,80+ GOLD,ATX,220.0,1
1000.0,SFX,130.0,80+ GOLD,ATX,200.0,0
450.0,SFX,100.0,80+ PLATINUM,ATX,180.0,0
400.0,ATX,,,ATX,200.0,1
500.0,ATX,160.0,80+ BRONZE,ATX | SFX | SFX-L,220.0,1
750.0,ATX,160.0,80+ BRONZE,ATX,,1
750.0,SFX,100.0,80+ GOLD,ATX,,0
700.0,SFX,130.0,80+ PLATINUM,ATX,223.0,0
550.0,ATX,160.0,80+ BRONZE,ATX,,1
500.0,ATX,140.0,80+ BRONZE,Flex ATX,,0
650.0,ATX,160.0,80+ SILVER,SFX | SFX-L,,0
700.0,TFX,175.0,80+ GOLD,ATX,,0
750.0,ATX,170.0,80+ SILVER,ATX,160.0,0
1200.0,ATX,190.0,80+ PLATINUM,ATX,180.0,0
1600.0,ATX,240.0,80+ GOLD,SFX | SFX-L,,0
1200.0,ATX,175.0,80+,SFX | SFX-L,,0
750.0,ATX,175.0,80+ BRONZE,ATX,170.0,0
500.0,Flex ATX,152.0,80+ SILVER,ATX,200.0,0
1000.0,ATX,140.0,,ATX,180.0,1
1500.0,ATX,225.0,80+ TITANIUM,ATX,182.0,0
1200.0,ATX,180.0,80+ PLATINUM,ATX,,1
550.0,SFX,100.0,80+ GOLD,ATX,,0
400.0,ATX,139.0,,ATX,220.0,1
1500.0,ATX,200.0,80+ TITANIUM,ATX,182.0,0
750.0,ATX,170.0,80+ GOLD,ATX,210.0,1
800.0,ATX,160.0,80+ GOLD,ATX,150.0,0
400.0,ATX,160.0,80+ PLATINUM,ATX,200.0,1
500.0,ATX,140.0,80+ GOLD,ATX,160.0,1
1600.0,ATX,200.0,80+ PLATINUM,SFX | SFX-L,,0
1000.0,ATX,200.0,80+,ATX,180.0,0
560.0,ATX,160.0,80+ GOLD,ATX,,1
400.0,ATX,140.0,80+ BRONZE,ATX,,1
1000.0,SFX,125.0,80+ PLATINUM,ATX,200.0,0
850.0,ATX,140.0,80+ GOLD,ATX,220.0,1
1000.0,ATX,150.0,80+ GOLD,ATX,,1
650.0,SFX,125.0,80+ GOLD,ATX,250.0,0
650.0,ATX,140.0,80+ GOLD,ATX,182.0,1
300.0,SFX,100.0,80+ BRONZE,ATX,,0
300.0,TFX,175.0,80+ BRONZE,ATX,220.0,0
400.0,ATX,,,ATX,240.0,1
1500.0,ATX,180.0,80+ PLATINUM,ATX,220.0,1
850.0,SFX,100.0,80+ GOLD,ATX,160.0,0
750.0,SFX,100.0,80+ GOLD,ATX,,0
550.0,ATX,160.0,80+ GOLD,ATX,240.0,1
1000.0,ATX,140.0,80+ GOLD,ATX,210.0,1
750.0,ATX,160.0,80+ GOLD,ATX,182.0,1
600.0,ATX,140.0,80+ GOLD,ATX,220.0,1
850.0,ATX,180.0,80+ GOLD,ATX,160.0,0
850.0,ATX,,80+ SILVER,ATX,,1
750.0,ATX,140.0,80+ GOLD,ATX,223.0,1
1300.0,ATX,190.0,80+ PLATINUM,ATX,180.0,0
1200.0,ATX,200.0,80+ PLATINUM,Flex ATX,,0
2000.0,ATX,230.0,80+ GOLD,ATX,200.0,0
500.0,TFX,175.0,80+ GOLD,ATX,,0
700.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
750.0,ATX,150.0,80+ GOLD,ATX,,1
850.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0
450.0,ATX,140.0,,SFX | SFX-L,,0
550.0,ATX,139.0,80+ BRONZE,ATX,,1
600.0,SFX,100.0,80+ GOLD,ATX,,0
600.0,ATX,140.0,80+,ATX,,1
700.0,ATX,140.0,80+,ATX,223.0,1
450.0,ATX,125.0,80+,ATX,200.0,1
1500.0,ATX,180.0,80+ PLATINUM,ATX,,1
750.0,ATX,170.0,80+ BRONZE,ATX,160.0,0
300.0,TFX,175.0,80+ GOLD,ATX,180.0,0
1200.0,ATX,200.0,80+ PLATINUM,ATX,180.0,0
550.0,ATX,150.0,80+ BRONZE,ATX,,1
300.0,TFX,185.0,80+ BRONZE,ATX,180.0,0
620.0,ATX,150.0,80+,ATX,220.0,1
1500.0,ATX,200.0,80+ GOLD,ATX,220.0,1
850.0,ATX,180.0,80+,ATX,182.0,1
850.0,SFX,100.0,80+ PLATINUM,ATX,,0
450.0,ATX,140.0,80+,ATX,,1
750.0,ATX,140.0,,ATX,200.0,1
1500.0,ATX,219.0,80+ SILVER,ATX,240.0,1
350.0,TFX,175.0,80+ GOLD,ATX,200.0,0
450.0,SFX,100.0,80+ BRONZE,ATX,220.0,0
350.0,SFX,100.0,80+ BRONZE,ATX,,0
750.0,ATX,150.0,80+ GOLD,ATX,,1
800.0,ATX,160.0,80+ GOLD,ATX,200.0,1
1000.0,ATX,170.0,80+ GOLD,SFX | SFX-L,,0
300.0,SFX,100.0,80+,SFX | SFX-L,,1
350.0,Flex ATX,150.0,80+ GOLD,ATX,223.0,0
650.0,ATX,150.0,80+ PLATINUM,SFX | SFX-L,,0
750.0,ATX,160.0,80+ GOLD,ATX,,1
650.0,SFX,125.0,80+ GOLD,ATX,200.0,0
850.0,ATX,160.0,80+ GOLD,ATX,220.0,1
550.0,ATX,139.0,80+ BRONZE,ATX,160.0,1
550.0,SFX,100.0,80+ GOLD,ATX,,0
850.0,ATX,140.0,80+ GOLD,ATX,,1
1000.0,ATX,170.0,80+ GOLD,SFX | SFX-L,,0
1250.0,ATX,190.0,80+ GOLD,ATX,180.0,0
1000.0,ATX,190.0,80+ PLATINUM,ATX,180.0,0
650.0,ATX,140.0,80+ GOLD,ATX,240.0,1
680.0,ATX,,,ATX,210.0,1
600.0,ATX,165.0,80+ BRONZE,SFX | SFX-L,,0
650.0,SFX,100.0,80+ GOLD,ATX,220.0,0
750.0,SFX,125.0,80+ PLATINUM,ATX,220.0,0
850.0,SFX,100.0,80+ PLATINUM,ATX,220.0,0
1350.0,ATX,170.0,80+ GOLD,ATX,,1
1300.0,ATX,200.0,80+ GOLD,ATX,180.0,0
1500.0,ATX,180.0,80+ PLATINUM,ATX,160.0,0
750.0,ATX,180.0,80+ GOLD,ATX,210.0,1
1000.0,ATX,190.0,80+ PLATINUM,ATX,180.0,0
1000.0,ATX,193.0,80+ PLATINUM,ATX,180.0,0
1000.0,SFX,125.0,80+ PLATINUM,ATX,220.0,0
300.0,TFX,175.0,80+ GOLD,ATX,,0
550.0,ATX,160.0,80+ BRONZE,ATX,223.0,1
500.0,ATX,139.0,80+ BRONZE,ATX,220.0,1
550.0,ATX,160.0,80+ GOLD,ATX,220.0,1
1000.0,ATX,160.0,80+ PLATINUM,ATX,220.0,1
680.0,ATX,160.0,80+ GOLD,SFX | SFX-L,,0
860.0,ATX,160.0,80+ PLATINUM,ATX,170.0,1
300.0,TFX,175.0,,ATX,220.0,0
500.0,ATX,140.0,80+ GOLD,SFX | SFX-L,,0
300.0,TFX,175.0,80+ BRONZE,ATX,,0
620.0,ATX,149.0,80+ BRONZE,ATX,,1
750.0,ATX,140.0,80+ BRONZE,ATX,220.0,1
