opendb_id,name,manufacturer,form_factor,expansion_slots,internal_2_5_bays,internal_3_5_bays,gpu_clearance_mm,cooler_clearance_mm,psu_clearance_mm,volume_liters,supported_motherboards,supported_psu,transparent_side_panel
9d0fa81e-794e-43a0-b137-094d45037d33,"Thermaltake Versa H16 ARGB Micro ATX Mini Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A",Thermaltake,Micro ATX Mini Tower,4,2,2,330.0,175.0,,32.986,Micro ATX | Mini-ITX,,true
9d2243e4-649a-49dc-8ed4-bb503b0e0d5a,"Phanteks EVOLV SHIFT XT Mini-ITX Desktop Silver / Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Phanteks,Mini ITX Tower,3,1,0,324.0,,,17.458,Mini-ITX,,true
9d2d83a2-8128-46b4-8933-9a252550c8f7,Antec NSK3100 Micro ATX Mini Tower Black,Antec,Micro ATX Mini Tower,4,1,2,317.0,,,,Micro ATX | Mini-ITX,,false
9d4473b1-47f9-4d87-99e1-c2acee3b62b5,"Antec C3 ARGB ATX Mid Tower Black with Tempered Glass Side Panel, USB 3.2 Gen 2 Type-C, and USB 3.2 Gen 1 Type-A",Antec,ATX Mid Tower,7,3,1,415.0,160.0,,47.87,ATX | Micro ATX | Mini-ITX,,true
9d469c64-3c21-4f7d-974d-0f76d26d0d95,Silverstone ML07B HTPC Black with USB 3.2 Gen 1 Type-A,Silverstone,HTPC,2,3,1,330.0,,,13.905,Mini-ITX,,false
9d52a126-757e-4d9c-8363-9a2708e38577,be quiet! Dark Base 900 ATX Full Tower Black / Silver Acrylic Side Panel,be quiet!,ATX Full Tower,8,8,7,472.0,,,82.023,ATX | Micro ATX | Mini-ITX,,true
9d605ec7-ec37-4a76-87c5-d18999cca8c9,SHARKOON VK2 ATX Mid Tower Black,SHARKOON,ATX Mid Tower,7,4,2,375.0,,,40.53,ATX | Micro ATX | Mini-ITX,,false
9d7d6cde-4ac5-4694-b002-17b1fe00a1f5,Cooler Master Q300L V2 MicroATX Mini Tower Black Tempered Glass Side Panel,Cooler Master,Micro ATX Mini Tower,4,2,1,360.0,159.0,,34.091,Micro ATX | Mini-ITX,,true
9d997cd0-52de-4e8c-8b5d-f28b316a5d67,Thermaltake View 270 Plus ATX Mid Tower Green Tempered Glass ARGB,Thermaltake,ATX Mid Tower,7,1,2,420.0,180.0,,47.616,ATX | Micro ATX | Mini-ITX | EATX,,true
9dba9df9-0c3d-477e-a62e-76830c1faa66,Fractal Design Define 7 Mini Micro ATX Mini Tower Black,Fractal Design,Micro ATX Mini Tower,4,2,2,331.0,167.0,,33.209,Micro ATX | Mini-ITX,,false
9dc046b1-9e15-477c-89ed-ec209f5bc7bc,Deepcool CC560 V2 ATX Mid Tower Black Tempered Glass Side Panel,DeepCool,ATX Mid Tower,7,2,2,370.0,,,44.861,ATX | Micro ATX | Mini-ITX,,true
9dc4b870-95e5-46b0-afa3-099af7986043,CiT Home MicroATX Mid Tower Black RGB,CiT,Micro ATX Mid Tower,4,2,3,315.0,,,,Micro ATX | Mini-ITX,,false
9de86f93-5e99-4a9c-b2de-4e7b854d8218,"Jonsbo UMX1 Plus Mini-ITX Desktop Silver / Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A, USB 2.0 Type-A Front Panel",Jonsbo,Mini ITX Tower,2,1,1,270.0,,,16.56,Mini-ITX,,true
9debf08a-f274-4662-bfdf-b70dfe8aed33,"LIAN LI PC-O11 Dynamic Black Tempered Glass on the Front and Left Side, Chassis Body SECC ATX Mid Tower Gaming Computer Case - PC-O11DX",Lian Li,ATX Full Tower,8,4,2,420.0,155.0,,,ATX | Micro ATX | Mini-ITX,,true
9e0ace8b-d811-41d8-a4d1-7668000ac132,HYTE Y60 Persona 3 Reload Edition ATX Mid Tower Black / Blue Tempered Glass Side Panel,HYTE,ATX Mid Tower,7,4,2,375.0,160.0,,60.0,ATX | Micro ATX | Mini-ITX,,true
9e1e12dd-e7bd-43ed-b895-a64294788d0b,SHARKOON TG7M RGB ATX Mid Tower Black Tempered Glass,SHARKOON,ATX Mid Tower,7,4,2,380.0,172.0,,52.07,ATX | Micro ATX | Mini-ITX,,true
9e2bb9e9-6b9d-4495-945c-c702c516af13,"Gigabyte AORUS C300 ATX Mid Tower Black Tinted Tempered Glass Side Panel, USB 3.2 Gen 2 Type-C USB 3.2 Gen 1 Type-A",Gigabyte,ATX Mid Tower,7,3,2,400.0,,,,ATX | Micro ATX | Mini-ITX,,true
9e34a630-606b-4f16-851c-b1b4bd313a51,"Phanteks XT PRO ULTRA ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Phanteks,ATX Mid Tower,7,3,2,415.0,184.0,,51.66,ATX | Micro ATX | Mini-ITX | EATX,,true
9e3aeb11-df9d-4130-bb41-f41a54b76972,Corsair iCUE 4000D RGB AIRFLOW QL Edition Mid-Tower ATX Case — True White,Corsair,ATX Mid Tower,7,2,2,360.0,170.0,220.0,48.55,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
9e698958-75dd-43de-9391-c42186142a3e,Fractal Design Meshify 2 Black ATX Flexible Mid Tower Computer Case,Fractal Design,ATX Mid Tower,7,4,3,470.0,185.0,,58.95,ATX | Micro ATX | Mini-ITX | EATX,,false
9e76dc89-9ec4-4fb3-b044-1f3424c38c47,Fractal Design Focus 2 RGB ATX Mid Tower Black Tempered Glass Side Panel,Fractal Design,ATX Mid Tower,7,2,2,405.0,170.0,,45.767,ATX | Micro ATX | Mini-ITX,,true
9e7a1677-131f-447f-ae99-4beee2f19c54,DIYPC Solo-T2-R ATX Mid Tower Black / Red USB 3.2 Gen 1 & USB 2.0 Front Panel,DIYPC,ATX Mid Tower,7,3,3,375.0,,,39.106,ATX | Micro ATX | Mini-ITX,,false
9e805e3e-f5d6-40f3-9e67-4b931b9bff03,"Fractal Design North XL ATX Full Tower Black with Tinted Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Fractal Design,ATX Full Tower,7,2,2,413.0,185.0,,61.446,ATX | Micro ATX | Mini-ITX | EATX,,true
9e891280-9468-4444-a896-dacbab4c634f,Thermaltake View 270 Plus ATX Mid Tower Pink / Blue Tempered Glass ARGB,Thermaltake,ATX Mid Tower,7,1,2,420.0,180.0,,47.616,ATX | Micro ATX | Mini-ITX | EATX,,true
9e92d512-eeb5-45fd-b097-411230bb5949,"NZXT H7 Flow (2022) ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A",NZXT,ATX Mid Tower,7,4,2,400.0,185.0,,55.752,ATX | Micro ATX | Mini-ITX | EATX,,true
9e99bf2a-c709-4b46-a1c8-634b00f20939,Cougar Archon 2 Mesh RGB ATX Mid Tower Black Tempered Glass,Cougar,ATX Mid Tower,7,2,2,315.0,,,37.506,ATX | Micro ATX | Mini-ITX,,true
9ea1d590-b653-418e-808c-fa81ca836745,Silverstone ALTA G1M MicroATX Mid Tower White,Silverstone,Micro ATX Mid Tower,4,0,4,355.0,159.0,,,Micro ATX | Mini-ITX,,false
9eb5ad70-26b7-45b3-aed2-9ec0bd5af18c,DIYPC F2 Micro ATX Mini Tower White Acrylic Side Panel,DIYPC,Micro ATX Mini Tower,4,3,2,315.0,,,,Micro ATX | Mini-ITX,,true
9ec8b17f-76ce-4e8c-9d93-a5f968a27859,"BitFenix Prodigy M 2022 Micro ATX Mini Tower White / Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",BitFenix,Micro ATX Mini Tower,5,3,2,339.0,,,,Micro ATX | Mini-ITX,,true
9eceacbe-247a-4791-a8e4-e5999ecaeaf5,Fractal Design Meshify 3 XL ATX Full Tower Black with Tinted Tempered Glass Side Panel and USB 3.2 Gen 2x2 Type-C / USB 3.2 Gen 1 Type-A,Fractal Design,ATX Full Tower,7,1,2,512.0,182.0,,72.551,ATX | Micro ATX | Mini-ITX | EATX,,true
9f09cd39-2484-43e5-a4e8-9cc02bfbf23e,Fractal Design Define S2 Vision Blackout ATX Mid Tower Black Tinted Tempered Glass Side Panel,Fractal Design,ATX Mid Tower,7,2,3,440.0,,,58.831,ATX | Micro ATX | Mini-ITX,,true
9f0b069b-9aa1-42aa-937a-6370a47a77a5,MagniumGear NEO QUBE 2 Infinity Mirror ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C / USB 3.2 Gen 1 Type-A,MagniumGear,ATX Mid Tower,8,5,2,410.0,,,55.89,ATX | Micro ATX | Mini-ITX,,true
9f3df2f9-c3b5-42bd-9543-75dd497f804d,"Lian Li PC-X500FX ATX Mid Tower Black Acrylic Side Panel, USB 3.2 Gen 1 Type-A Front Panel",Lian Li,ATX Mid Tower,8,0,6,315.0,,,58.853,ATX | Micro ATX | Mini-ITX,,true
9f4dbffa-a743-4837-b91c-a4f6810f633e,"Enermax MarbleShell MS21 Micro ATX Mid Tower White RGB, Tempered Glass Side Panel",Enermax,Micro ATX Mid Tower,5,2,2,365.0,,,33.8,Micro ATX | Mini-ITX,,true
9f57b0cc-14e5-4198-9ee1-a7c2ce5d43db,SHARKOON VS7 ATX Mid Tower Black,SHARKOON,ATX Mid Tower,7,4,2,400.0,,,47.04,ATX | Micro ATX | Mini-ITX,,false
9f5b1d88-ae4b-4d4d-be33-00d4456b78b2,Tecware Forge M2 MicroATX Mid Tower Black Tempered Glass Side Panel,Tecware,Micro ATX Mid Tower,4,1,2,300.0,,,27.3,Micro ATX | Mini-ITX,,true
9f6b6299-1c39-4cb0-b4be-53843da7232e,In Win 301 Micro ATX Mini Tower Black/Red Tempered Glass,InWin,Micro ATX Mini Tower,4,2,1,330.0,,,28.09,Micro ATX | Mini-ITX,,true
9fadd423-7e08-4348-a3cd-d08c3a8f017e,Lian Li O11 Dynamic EVO ATX Mid Tower White / Gray Tempered Glass Side Panel,Lian Li,ATX Mid Tower,8,3,6,426.0,167.0,,60.829,ATX | Micro ATX | Mini-ITX | EATX,ATX,true
9fb1a4d6-d0f4-44a6-bd78-1b3a2fb6d3eb,Corsair iCUE 465X RGB ATX Mid Tower Black Tempered Glass USB 3.2 Gen 1 Type-A,Corsair,ATX Mid Tower,7,4,2,370.0,,,,ATX | Micro ATX | Mini-ITX,,true
9fb7cb59-7545-47d0-8b23-b2ec03135b2e,Jonsbo D30 Micro ATX Mini Tower Black Tempered Glass,Jonsbo,Micro ATX Mini Tower,4,3,1,355.0,,,26.586,Micro ATX | Mini-ITX,,true
9fd5c3a6-2574-43bd-b299-20d7dc4c33d1,Antec Three Hundred Two ATX Mid Tower Black,Antec,ATX Mid Tower,8,2,6,318.0,,,54.856,ATX | Micro ATX | Mini-ITX,,false
9fea13eb-b0cf-4474-a2b6-bac5bc776943,Thermaltake Divider 300 TG Air ATX Mid Tower Black Tempered Glass Side Panel,Thermaltake,ATX Mid Tower,7,5,2,390.0,145.0,,48.175,ATX | Micro ATX | Mini-ITX,,true
9febcecd-82eb-4eb4-84f8-0b56a98ea232,"Fractal Design Era ITX Mini-ITX Desktop Silver with Tinted Tempered Glass Side Panel and USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",Fractal Design,Mini ITX Tower,2,2,1,295.0,,,16.724,Mini-ITX,,false
9ff16e5a-3e0c-45c4-8228-ad70d9a2a337,ARCTIC Xtender VG ATX Mid Tower White Tempered Glass,ARCTIC,ATX Mid Tower,7,6,3,482.0,171.0,,64.643,ATX | Micro ATX | Mini-ITX | EATX,,true
a00aa6fd-61a1-41a7-a259-debd7cdb7cf4,Lian Li A3-mATX Micro ATX Mini Tower White / Brown Wood Mesh Side Panel,Lian Li,Micro ATX Mini Tower,4,2,1,415.0,165.0,220.0,26.298,Micro ATX | Mini-ITX,ATX | SFX | SFX-L,true
a0270708-d191-4f16-a5d6-587f91826ac8,KEDIERS Micro ATX Tower PC Case 4 PWM ARGB Fans White,,,,,,,,,,,,
a0384cd3-c546-4fbc-b123-2452c17703a6,Inter-Tech C-702 DIORAMA ATX Mid Tower Black Tempered Glass,Inter-Tech,ATX Mid Tower,7,3,2,325.0,,,44.118,ATX | Micro ATX | Mini-ITX,,true
a0390e4b-b16d-4166-81ae-225665c17b15,Silverstone SUGO 14 Mini-ITX Desktop White,Silverstone,Mini ITX Tower,3,3,0,330.0,,,19.548,Mini-ITX,,false
a03ddb33-eb90-4b2c-b74c-5c2c9486c9ca,GAMDIAS APOLLO E2 ELITE ATX Mid Tower Black Tempered Glass Side Panel,GAMDIAS,ATX Mid Tower,7,3,2,340.0,190.0,,,ATX | Micro ATX | Mini-ITX,,true
a06224d2-2d41-482b-a9ef-81f1750dc793,Antec FLUX REAR Mid Tower Case With Tempered Glass,Antec,ATX Mid Tower,7,2,,400.0,180.0,,50.784,,,true
a062c12c-6432-4834-b9b3-e2a1470b3f36,Cougar Airface ATX Mid Tower Black with Tempered Glass Side Panel and USB 3.2 Gen 1 Type-A / USB 2.0 Type-A,Cougar,ATX Mid Tower,7,2,2,330.0,,,43.591,ATX | Micro ATX | Mini-ITX,,true
a09e93b4-b76b-4d23-ae6d-f6695a002627,Fractal Design Meshify 2 Compact Lite ATX Mid Tower Black Tinted Tempered Glass,Fractal Design,ATX Mid Tower,7,2,2,345.0,,,42.294,ATX | Micro ATX | Mini-ITX,,true
a0a833c9-ba7b-4f70-9eef-6883ed2c48e1,Asiahorse Perseus ATX Mid Tower Black Tempered Glass Side Panel,ASIAHORSE,ATX Mid Tower,7,2,2,400.0,,,73.867,ATX | Micro ATX | Mini-ITX,,true
a0ac389e-1d85-4bae-a5c9-5995d3779162,Lian Li Lancool 205M,Lian Li,Micro ATX Mid Tower,4,3,2,350.0,160.0,,,Micro ATX | Mini-ITX,,true
a0b58fd8-956a-443c-98d6-3a5b87eb71e0,Lian Li PC-O11 Dynamic ATX Full Tower White Tempered Glass Side Panel,Lian Li,ATX Full Tower,8,3,3,420.0,,,53.984,ATX | Micro ATX | Mini-ITX,,true
a0c2a1e3-05f9-444c-a7bf-dbfebf29fa18,Corsair Carbide Series SPEC-03 ATX Mid Tower Black / Blue Acrylic Side Panel,Corsair,ATX Mid Tower,7,2,3,420.0,,,36.059,ATX | Micro ATX | Mini-ITX,,true
a0c4bf53-b48d-4d38-928c-9f6aefc0e977,"SAMA SV02 ATX Computer Gaming PC Case Mid Tower White with 3 ARGB Fans Pre-Installed, Tempered Glass Transparent Side Panel,BTF Back Plug Motherboard Design",SAMA,ATX Mid Tower,7,2,2,410.0,181.0,,50.23,ATX | Micro ATX | Mini-ITX,,true
a0db21f6-2cd2-4a9b-807e-157eb833ea34,PCCooler C3 T700 White,PC Cooler,ATX Mid Tower,7,2,1,400.0,175.0,180.0,,ATX | Micro ATX | Mini-ITX,ATX,true
a10f24fe-ea8e-4154-ad18-97a4bc71d4a2,"MSI MPG Sekira 500G ATX Mid Tower Black Tempered Glass Side Panel, USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A",MSI,ATX Mid Tower,8,3,6,400.0,,,67.075,ATX | Micro ATX | Mini-ITX,,true
a12b3724-9d3c-4ef5-bba2-2031dea4f830,Zalman CUBIX Micro ATX Mini Tower White,Zalman,Micro ATX Mini Tower,4,1,1,260.0,,,,Micro ATX | Mini-ITX,,false
a1385e9a-e15a-4659-acd2-4d3faa75edd5,KOLINK Unity ATX Mid Tower Black Lateral ARGB Tempered Glass,KOLINK,ATX Mid Tower,7,2,2,410.0,,,53.371,ATX | Micro ATX | Mini-ITX,,true
a14ff72c-24d6-46cb-874f-b0eb9a6e1b65,Thermaltake The Tower 300 MicroATX Mini Tower Tempered Glass Side Panel - Gravel Sand,Thermaltake,Micro ATX Mini Tower,4,3,3,400.0,210.0,220.0,52.952,Micro ATX | Mini-ITX,ATX,true
