opendb_id,metadata_name,metadata_manufacturer,metadata_series,metadata_variant,metadata_releaseYear,series,socket,_source_file,cache_l1,cache_l2,cache_l3,clocks_efficiency_base,clocks_efficiency_boost,clocks_performance_base,clocks_performance_boost,coreFamily,cores_efficiency,cores_performance,cores_threads,cores_total,general_product_information_amazon_sku,general_product_information_bestbuy_sku,general_product_information_manufacturer_url,general_product_information_newegg_sku,general_product_information_walmart_sku,metadata_last_manually_spec_verified_at,metadata_part_numbers,microarchitecture,specifications_eccSupport,specifications_includesCooler,specifications_integratedGraphics_baseClock,specifications_integratedGraphics_boostClock,specifications_integratedGraphics_model,specifications_integratedGraphics_shaderCount,specifications_lithography,specifications_memory_channels,specifications_memory_maxSupport,specifications_memory_types,specifications_packaging,specifications_ppt,specifications_simultaneousMultithreading,specifications_tdp
ef919fd3-b02f-414b-987f-7fea17ff8d82,Intel Core i7 7740X,Intel,Core i7 7000,7740X,2017,Core i7 7000,LGA 2066,ef919fd3-b02f-414b-987f-7fea17ff8d82.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,4.3,4.5,Kaby Lake-X,0,0,8,4,B072KTRQ9G,,https://www.intel.com/content/www/us/en/products/sku/121499/intel-core-i77740x-xseries-processor-8m-cache-up-to-4-50-ghz/specifications.html,N82E16819117792,303078782,,BX80677I77740X | i7-7740X,Kaby Lake,False,False,0,0,,0,14 nm,2,64,DDR4,Boxed,0,True,112
efc2e6bd-7bde-483b-829f-ad07e632c5b9,Intel Xeon E5-2650 v3,Intel,Xeon E5 2600 v3,2650 v3,2014,Xeon E5 2600 v3,LGA 2011-3,efc2e6bd-7bde-483b-829f-ad07e632c5b9.json,10 × 32 KB Instruction + 10 × 32 KB Data (640 KB total),2.5,25,0,0,2.3,3,Haswell-EP,0,0,20,10,B00QNIOKI6,,https://www.intel.com/content/www/us/en/products/sku/81705/intel-xeon-processor-e52650-v3-25m-cache-2-30-ghz/specifications.html,09Z-01R3-00009,,,BX80644E52650V3 | CM8064401723701,Haswell,True,False,0,0,,0,22 nm,4,768,DDR4,Boxed,0,True,105
efca94bc-ba7e-4149-a633-7d3f548f7ed8,Intel Core i5 11400F,Intel,Core i5 11000,11400F,2021,Core i5 11000,LGA 1200,efca94bc-ba7e-4149-a633-7d3f548f7ed8.json,L1I 32KB/core + L1D 48KB/core (Total 480KB),3,12,0,0,2.6,4.4,Rocket Lake-S,0,0,12,6,B08X6SZ184,,https://www.intel.com/content/www/us/en/products/sku/212271/intel-core-i511400f-processor-12m-cache-up-to-4-40-ghz/specifications.html,N82E16819118246,367606829,,BX8070811400F | BX8070811400 | BXC8070811400F | BX8070110400F,Rocket Lake,False,True,0,0,,0,14 nm,2,128,DDR4,Boxed,0,True,65
efff71a9-9435-46f2-9195-3f5a6e452494,Intel Xeon E3 1225 V3,Intel,Xeon E3 1200 v3,1225 v3,2013,Xeon E3 1200 v3,LGA 1150,efff71a9-9435-46f2-9195-3f5a6e452494.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,3.2,3.6,Haswell-WS,0,0,4,4,B00D69Q0GK,,https://www.intel.com/content/www/us/en/products/sku/75461/intel-xeon-processor-e31225-v3-8m-cache-3-20-ghz/specifications.html,N82E16819116910,,,BX80646E31225V3,Haswell,True,True,350,1200,Intel HD Graphics P4600,160,22 nm,2,32,DDR3,Boxed,0,False,84
f048e8d4-a34d-425e-b64b-1a5c848d3c12,Intel Xeon E3 1245 v3 OEM/Tray,Intel,Xeon E3 1200 v3,1245 v3,2013,Xeon E3 1200 v3,LGA 1150,f048e8d4-a34d-425e-b64b-1a5c848d3c12.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,3.4,3.8,Haswell-WS,0,0,8,4,B0FPCDN739,,https://www.intel.com/content/www/us/en/products/sku/75462/intel-xeon-processor-e31245-v3-8m-cache-3-40-ghz/specifications.html,,,,CM8064601466509,Haswell,True,False,350,1200,Intel HD Graphics P4600,160,22 nm,2,32,DDR3,OEM/Tray,0,True,84
f0a97d97-78c0-4794-8dba-7d5f5e8917d8,AMD A-Series A10 6800B,AMD,A-Series A10 6000,6800B,2013,A-Series A10 6000,FM2,f0a97d97-78c0-4794-8dba-7d5f5e8917d8.json,2 × 64 KB Instruction + 4 × 16 KB Data (192 KB total),4,0,0,0,4.1,4.4,Richland,0,0,4,4,,,https://www.amd.com/en/support/downloads/drivers.html/processors/a-series/business-class---quad-core-a10-series-apu-for-desktops/a10-6800b-with-radeon-hd-8670d.html#amd_support_product_spec,,,,AD680BWOA44HL,Piledriver,False,False,0,844,AMD Radeon HD 8670D,384,32nm SOI,2,64,DDR3,OEM/Tray,0,False,45
f151e49a-c8ad-4f44-b2de-d44e3f37623a,AMD Athlon X4 845,AMD,Athlon X4 800,845,2016,Athlon X4 800,FM2+,f151e49a-c8ad-4f44-b2de-d44e3f37623a.json,2 × 96 KB Instruction + 4 × 32 KB Data (320 KB total),2,0,0,0,3.5,3.8,Carrizo,0,0,4,4,B01BF376EI,,https://www.techpowerup.com/cpu-specs/athlon-x4-845.c2600,,131311191,,AD845XACKASBX | B960961,Excavator,False,True,0,0,,0,28 nm,2,64,DDR3,Boxed,0,False,65
f165b2c9-fa32-4bfd-8ebe-2a0606dec25e,Intel Core i3 10100,Intel,Core i3 10000,10100,2020,Core i3 10000,LGA 1200,f165b2c9-fa32-4bfd-8ebe-2a0606dec25e.json,4 × 64 KB (32 KB L1I + 32 KB L1D),1,6,0,0,3.6,4.3,Comet Lake,0,0,8,4,B086MMRW87,6411497,,N82E16819118138,350273118,,BX8070110100,Comet Lake,False,False,350,1100,Intel UHD Graphics 630,192,14 nm,2,128,DDR4,Boxed,0,True,65
f1c3343b-8ea7-4a0c-9166-eaee8fc8d313,Intel Core i5 6600,Intel,Core i5 6000,6600,2015,Core i5 6000,LGA 1151,f1c3343b-8ea7-4a0c-9166-eaee8fc8d313.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,6,0,0,3.3,3.9,Skylake,0,0,4,4,B010T6D39O,,https://www.intel.com/content/www/us/en/products/sku/88188/intel-core-i56600-processor-6m-cache-up-to-3-90-ghz/specifications.html,N82E16819117562,,,BX80662I56600,Skylake,False,True,350,1150,Intel HD Graphics 530,192,14 nm,2,64,DDR3 | DDR4,Boxed,0,False,65
f2133cc2-e9de-4068-b71a-ce19410393af,Intel Core i5 9600KF,Intel,Core i5 9000,9600KF,2019,Core i5 9000,LGA 1151,f2133cc2-e9de-4068-b71a-ce19410393af.json,6 × 32 KB Instruction + 6 × 32 KB Data (384 KB total),1.5,9,0,0,3.7,4.6,Coffee Lake,0,0,6,6,B07TF7KZVT,,https://www.intel.com/content/www/us/en/products/sku/190884/intel-core-i59600kf-processor-9m-cache-up-to-4-60-ghz/specifications.html,N82E16819117996,910210684,,CM8068403874410 | CM8068403874410S RG12,Coffee Lake Refresh,False,False,0,0,,0,14 nm,2,128,DDR4,Boxed,0,False,95
f2f956e6-c0df-4c3e-b2ad-5c3c57e2e13b,AMD Ryzen 9 3900X OEM/Tray,AMD,Ryzen 9 3000,3900X,2019,Ryzen 9 3000,AM4,f2f956e6-c0df-4c3e-b2ad-5c3c57e2e13b.json,12 × 64 KB Instruction + 12 × 32 KB Data (1152 KB total),6,64,0,0,3.8,4.6,Matisse,0,0,24,12,,,https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen/ryzen-3000-series/amd-ryzen-9-3900x.html,9SIC4RPKRD4351,,,100-000000023,Zen 2,False,False,0,0,,0,TSMC 7nm FinFET,2,128,DDR4,OEM/Tray,142,True,105
f3142c81-331a-4117-b394-6206e39d789e,Intel Core i5 6500,Intel,Core i5 6000,6500,2015,Core i5 6000,LGA 1151,f3142c81-331a-4117-b394-6206e39d789e.json,4 × 64 KB (32 KB L1I + 32 KB L1D),1,6,0,0,3.2,3.6,Skylake,0,0,4,4,B01BWLMSFK,,https://www.intel.com/content/www/us/en/products/sku/88184/intel-core-i56500-processor-6m-cache-up-to-3-60-ghz/specifications.html,N82E16819117586,509978558,,CM8066201920404,Skylake,False,False,350,1050,Intel HD Graphics 530,192,14 nm,2,64,DDR4 | DDR3,OEM/Tray,0,False,65
f34f9bc1-0136-43ee-bd78-a9efbd0e5f17,AMD Ryzen 5 3600,AMD,Ryzen 5 3000,3600,2019,Ryzen 5 3000,AM4,f34f9bc1-0136-43ee-bd78-a9efbd0e5f17.json,6 × 64 KB (32 KB I-cache + 32 KB D-cache),3,32,0,0,3.6,4.2,Matisse,0,0,12,6,B07STGGQ18,6356278,https://www.amd.com/en/support/downloads/drivers.html/processors/ryzen/ryzen-3000-series/amd-ryzen-5-3600.html,N82E16819113569,1923977030,,100-100000031BOX | 100-100000031SBX | AMD Ryzen 5 3600,Zen 2,False,True,0,0,,0,TSMC 7nm FinFET,2,128,DDR4,Boxed,88,True,65
f3afc880-6bcf-43d3-95f1-8a63c88e1121,AMD Sempron X2 250 OEM/Tray,AMD,Sempron X2 200,250,2013,Sempron X2 200,FM2,f3afc880-6bcf-43d3-95f1-8a63c88e1121.json,1 × 64 KB Instruction + 2 × 16 KB Data (96 KB total),1,0,0,0,3.2,3.6,Richland,0,0,2,2,,,https://www.cpu-world.com/CPUs/Bulldozer/AMD-Sempron%20250%20-%20SD250XOKA23HL.html,,,,SD250XOKA23HL,Piledriver,False,False,0,0,,0,32 nm,2,64,DDR3,OEM/Tray,0,False,65
f3c2517b-1b7c-43e6-914a-ea55b0631cb4,AMD A10-6700T,AMD,A-Series A10 6000,6700T,2013,A-Series A10 6000,FM2,f3c2517b-1b7c-43e6-914a-ea55b0631cb4.json,2 × 64 KB Instruction + 4 × 16 KB Data (192 KB total),4,0,0,0,2.5,3.5,Richland,0,0,4,4,B00ENT56EE,,https://www.amd.com/en/support/downloads/drivers.html/processors/a-series/a10-series-apu-for-desktops/a10-6700t-with-radeon-hd-8650d.html,N82E16819113350,,,AD670TYHA44HL,Piledriver,False,True,720,844,AMD Radeon HD 8650D,384,32nm SOI,2,64,DDR3,Boxed,0,False,45
f49640cf-bfdf-43b7-924b-151451c38863,Intel Xeon E5-2667 v2 OEM/Tray,Intel,Xeon E5 2600 v2,2667 v2,2013,Xeon E5 2600 v2,LGA 2011,f49640cf-bfdf-43b7-924b-151451c38863.json,8 × 32 KB Instruction + 8 × 32 KB Data (512 KB total),2,20,0,0,3.3,4,Ivy Bridge-EP,0,0,16,8,B08NPX1X3S,,https://www.intel.com/content/www/us/en/products/sku/75273/intel-xeon-processor-e52667-v2-25m-cache-3-30-ghz/specifications.html,2NS-0006-06EW6,605336731,,CM8063501287304 | LSE-0A3F89993E5DFDA0A52DB0F63663A4E2,Ivy Bridge-EP,True,False,0,0,,0,22 nm,4,768,DDR3,OEM/Tray,0,True,130
f4fb1df0-143e-4951-90f9-25b8660b97f9,Intel Xeon E5 2650L V4 1.7 GHz 14-Core LGA2011-3,Intel,Intel Xeon E5,,,Intel Xeon E5,LGA 2011-3,f4fb1df0-143e-4951-90f9-25b8660b97f9.json,,5,35,,,1.7,2.5,Broadwell-EP,,14,28,14,,,,,,,CM8066002033006,Broadwell,True,False,,,,,14 nm,,1536,,OEM/Tray,,True,65
f4fcdf17-ee89-4728-a37f-3bb8350cc118,Intel Celeron G5900,Intel,Core Celeron 5000,G5900,2020,Core Celeron 5000,LGA 1200,f4fcdf17-ee89-4728-a37f-3bb8350cc118.json,128 KB (2×32 KB L1 Data + 2×32 KB L1 Instruction),0.5,2,0,0,3.4,0,Comet Lake,0,0,2,2,B086MW76F8,,https://www.intel.com/content/www/us/en/products/sku/199268/intel-celeron-processor-g5900-2m-cache-3-40-ghz/specifications.html,N82E16819118143,255507550,,BX80701G5900,Comet Lake,False,False,350,1050,Intel UHD Graphics 610,96,14 nm,2,128,DDR4,OEM/Tray,0,False,58
f59894ac-8315-443c-adb5-1967307e603d,Intel Xeon E3-1270 v5,Intel,Xeon E3 1200 v5,1270 v5,2015,Xeon E3 1200 v5,LGA 1151,f59894ac-8315-443c-adb5-1967307e603d.json,4 × 32 KB Instruction + 4 × 32 KB Data (256 KB total),1,8,0,0,3.6,4,Skylake-DT,0,0,8,4,B015T35R82,,https://www.intel.com/content/www/us/en/products/sku/88174/intel-xeon-processor-e31270-v5-8m-cache-3-60-ghz/specifications.html,,,,BX80662E31270V5,Skylake,True,False,0,0,,0,14 nm,2,64,DDR4 | DDR3,Boxed,0,True,80
