motherboard_id,case_id,motherboard_form_factor,case_supported_motherboards,motherboard_ram_type,motherboard_memory_slots,case_form_factor,form_factor_match,label
88f0d5cb-1adb-4c10-9785-100bc76719aa,5e2a3ef2-f13e-43ba-b700-0b538b913b7f,Mini ITX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,2,ATX Full Tower,0,0
6b68296e-699c-4732-823e-5a1c75e1890b,3f969548-6f6f-467a-a8b9-495bdbf12e47,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
b55bae5e-5c45-4378-a380-9f9f2b2357db,991135c8-954c-443c-b255-b270a10481c4,Micro ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Mini Tower,1,1
85dea92c-3ce8-440a-84f8-634648ab3a3f,0b4a97e5-e29b-49c0-8604-cbea5ae2cfd7,EATX,Micro ATX | Mini-ITX,DDR4,8,Micro ATX Mini Tower,0,0
219d0e8f-7b93-4c1e-9034-aba66a54e4dc,06fba849-864d-4331-84d6-eefe2eb07705,ATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,1,1
aec12166-9c01-48a6-b707-af5d0f698203,bd024fcc-5c32-459d-b369-c8acf7715aa9,EATX,ATX | Micro ATX | Mini-ITX,DDR3,4,ATX Mid Tower,0,0
18805bf8-49ae-4eb6-8018-d3483ae06a46,a795fceb-1c06-4005-ad93-091ae19f3b11,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
f353bfee-8969-4da6-a5da-024ee78ee1a9,493c1c36-0db5-4b8b-a764-0d6c488544b7,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
89d7f0e8-e96a-4c7e-87c9-b9ceab7ddf19,155a43f9-cab3-4e5f-995c-e1e48cd269e5,ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR4,8,ATX Mid Tower,1,1
b5e1ecc1-ad4f-4696-861e-273259db6079,dd166860-cbd6-45b1-8365-99a5b58ed933,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,1,1
0ff3cfed-9754-4771-84c7-cbe5e951cf0e,516bc167-dbc0-4de7-9026-8849ebdbc2d5,EATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,0,0
600d1090-a0b9-43e9-b115-cdbe6bb4e0b0,88731caa-ebce-4f73-a33e-5a3567726026,Micro ATX,ATX | Micro ATX | Mini-ITX,DDR5,2,ATX Mid Tower,1,1
4aa6376c-6d7c-434a-8223-97806bd7c932,54ddfc67-e274-42e6-8e94-6e55584ea358,EATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,0,0
9b98540f-0e0d-4c4a-bbab-a1f468102183,4aecc04e-804e-489c-8a18-b436b0278e39,Micro ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
669f9769-4190-4ce2-a374-6c79a865465b,416c1098-e58d-40bf-b8f5-257fc45c5730,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
63e93382-e28d-4b0c-94fe-1c45a9e99e90,d92d15a1-1829-499a-a024-dc66b3579a34,Micro ATX,ATX | Micro ATX | Mini-ITX | EATX,DDR5,2,ATX Full Tower,1,1
92a7f554-7476-4707-a415-362d31947217,3eeaa2f6-6a7b-4d03-a76b-0db731ae036b,ATX,Mini-ITX,DDR4,4,Mini ITX Tower,0,0
f0b85937-2e5a-4b2e-88c2-5981ca1d7175,a2890731-5205-4176-97a8-f7dcc28a87fc,ATX,Micro ATX | Mini-ITX,DDR5,4,Micro ATX Slim Tower,0,0
4472ace2-68c8-4d57-84e9-5b47d9585746,9c2259e4-2162-48c6-ae4f-fe574ad520fb,ATX,Micro ATX | Mini-ITX,DDR4,4,Micro ATX Mini Tower,0,0
149e1240-d571-4c21-89e9-4f566cefb62c,b60fd305-3488-4892-8679-fad3b5a3e0ba,ATX,ATX | Micro ATX | Mini-ITX,DDR5,4,ATX Mid Tower,1,1
a436b7cf-5dac-469e-80b5-ddf2f8e06f35,bb7ccac3-b503-4b2e-8ec6-1e483ea227c5,EATX,ATX | Micro ATX | Mini-ITX,DDR4,4,ATX Mid Tower,0,0
f8310720-bffe-49d5-aa14-1bc9245c79cf,e9a0a258-de9d-4231-bf5e-ed00217eff45,Micro ATX,Micro ATX | Mini-ITX,DDR3,4,Micro ATX Mini Tower,1,1
43651f53-349e-4e92-abff-287ce5dfc61d,84f2fb9b-a0b4-4bed-9ce4-c0dae5e6e3a0,Mini ITX,ATX | Micro ATX | Mini-ITX,DDR4,2,ATX Mid Tower,0,0
6c22e5e7-e02e-4fad-9717-2c82c94b7db2,b8f1a401-c10c-4a3f-9b80-d7df17c029f0,ATX,ATX | Micro ATX | Mini-ITX,DDR4,8,ATX Mid Tower,1,1
