psu_id,case_id,psu_wattage,psu_form_factor,psu_length,psu_efficiency,case_supported_psu,case_psu_clearance,psu_form_factor_match,psu_length_ok,label
2e64188d-1e99-453c-8f8d-fcdc3fad1a73,75b8fa59-986c-4cbc-9dcc-c6574428233c,550.0,ATX,140.0,80+ BRONZE,ATX,220.0,1,1,1
29e79d79-1d20-4ae1-8fdf-a482796704a7,0c3c19d6-ba05-41aa-8936-0eafc4a14fb9,1500.0,ATX,218.0,80+ SILVER,ATX,200.0,1,0,0
f396c182-1e4e-4321-8aa7-f3879d57892e,1bca2574-b9d8-491a-8f3c-02310ec2a557,1300.0,ATX,200.0,80+ GOLD,ATX,223.0,1,1,1
8589c32b-c0de-403b-8f9e-dffc406dc345,51b2027c-caff-483f-9398-25f2b30cd0d9,650.0,ATX,140.0,80+ BRONZE,SFX | SFX-L,,0,-1,0
b040557f-bc2f-4528-b2f5-23e153217f68,bd22ec2e-6668-41e1-85c6-1305c6c7100a,850.0,ATX,180.0,80+ GOLD,ATX,160.0,1,0,0
09721473-18d0-4679-a3d6-1a22763849ed,a94dbf7d-13a8-4454-8dd2-8570bb1bc56c,850.0,ATX,140.0,80+ GOLD,ATX,200.0,1,1,1
f4c59c5f-6cad-4d74-afaf-135ca565c2ef,7b4883af-7e1e-4482-9d70-0ee8c65847ab,650.0,ATX,175.0,80+ BRONZE,ATX,,1,-1,1
3547a19b-c8bc-471e-bc41-78a855421a03,346e977f-72ea-48ac-821e-a6d0779f54f0,750.0,ATX,140.0,80+ GOLD,ATX,,1,-1,1
a91b20cf-55c7-4174-a2d8-89d3d8c27dd8,20cf5e59-e8e0-4997-b8f0-274871866f28,550.0,SFX,100.0,80+ GOLD,ATX,,0,-1,0
8f13d4b6-6005-46a6-8495-8551f21e1dd4,719c4262-c921-4a8c-a851-f78d405e4dad,750.0,SFX,125.0,80+ PLATINUM,ATX,220.0,0,1,0
