category,column,total,filled,empty,empty_percent,unique,top_values
Case,max_video_card_length,3749,3585,164,4.37,203,400 (327) | 330 (208) | 410 (190) | 350 (170) | 420 (158) | 360 (153) | 380 (128) | 320 (124) | 340 (123) | 370 (104)
Case,max_cpu_cooler_height,3749,1222,2527,67.4,83,170 (165) | 165 (125) | 160 (110) | 180 (96) | 185 (89) | 190 (65) | 175 (63) | 167 (30) | 155 (30) | 210 (30)
Case,max_psu_length,3749,101,3648,97.31,12,220 (33) | 200 (20) | 180 (17) | 223 (8) | 160 (7) | 182 (4) | 210 (3) | 250 (3) | 240 (3) | 170 (1)
Case,supported_motherboard_form_factors,3749,3747,2,0.05,27,ATX | Micro ATX | Mini-ITX (2356) | Micro ATX | Mini-ITX (645) | Mini-ITX (384) | ATX | Micro ATX | Mini-ITX | EATX (251) | EATX | ATX | Micro ATX | Mini-ITX (36) | ATX | Mini-ITX | Micro ATX (13) | ATX | Mini-ITX | Micro ATX | EATX (11) | Mini-ITX | Micro ATX (6) | Micro ATX | Mini-ITX | ATX (6) | Micro ATX | Mini-ITX | EATX | ATX (5)
Case,supported_power_supply_form_factors,3749,160,3589,95.73,4,ATX (151) | SFX | SFX-L (6) | ATX | SFX | SFX-L (2) | Flex ATX (1)
Case,volume,3749,3176,573,15.28,1414,0 (85) | 41.345 (23) | 70.688 (21) | 58.628 (16) | 66.248 (16) | 45.895 (16) | 53.295 (13) | 46.218 (13) | 55.752 (12) | 52.952 (12)
Storage,capacity,3495,3493,2,0.06,70,1000 (748) | 2000 (549) | 4000 (278) | 500 (257) | 512 (231) | 256 (176) | 240 (117) | 8000 (115) | 250 (104) | 120 (94)
Storage,storage_type,3495,3493,2,0.06,3,SSD (2504) | HDD (967) | SSHD (22)
Storage,type,3495,3459,36,1.03,3,SSD (2473) | HDD (964) | SSHD (22)
Storage,form_factor,3495,3493,2,0.06,9,"M.2-2280 (1533) | 2.5"" (996) | 3.5"" (835) | PCIe (45) | M.2-2230 (34) | M.2-2242 (29) | mSATA (10) | M.2-22110 (7) | M.2-2260 (4)"
Storage,interface,3495,3493,2,0.06,21,SATA 6.0 Gb/s (1516) | M.2 PCIe 4.0 x4 (725) | M.2 PCIe 3.0 x4 (626) | SATA 3.0 Gb/s (245) | M.2 PCIe 5.0 x4 (138) | M.2 SATA (112) | SAS 12.0 Gb/s (29) | M.2 PCIe 3.0 x2 (22) | SAS 6.0 Gb/s (22) | M.2 PCIe 3.0 x8 (10)
Storage,nvme,3495,3493,2,0.06,2,false (1956) | true (1537)
