cooler_id,case_id,cooler_height,case_cooler_clearance,cooler_fan_size,cooler_fan_quantity,radiator_size,case_form_factor,height_difference,cooler_case_height_ok,label
2b9a3cef-94ce-4618-8cce-0ae709032f4a,b1b5c124-1763-460d-b6af-9529cfda75fb,158.0,148.0,,,,ATX Mid Tower,-10.0,0,0
e2791180-148f-40d1-a6ea-125ab51d85fc,16a09b25-33f2-45af-bef6-7b10c266ea5b,154.0,180.0,,,,ATX Mid Tower,26.0,1,1
448cf3ea-5be9-4425-a7ed-837dada191bf,2a1a8f7b-a245-4752-8245-4a95abbc56c3,163.0,155.0,,,,ATX Mid Tower,-8.0,0,0
4418810a-f7d2-4d2e-bdab-292ff30d9c16,f8f74112-f22b-4034-8c28-2a2267a95ac1,155.0,155.0,,,,ATX Mid Tower,0.0,1,1
78352a25-64b0-4308-b620-c277bda9f3c4,378f8c62-749e-4059-89dc-e42481415b65,123.0,160.0,,,,ATX Mid Tower,37.0,1,1
5ebd83a7-5693-4cac-8e9d-031cd1a2b7b4,2e071fa3-02bf-430c-ba13-4f0d351ddd16,55.0,210.0,,,,Micro ATX Mini Tower,155.0,1,1
e6bafebe-c219-4aec-b487-0134cb213c7f,15624d8f-0767-4111-8291-c842421181d5,154.0,45.0,120.0,2,,Mini ITX Tower,-109.0,0,0
782f0197-7467-461e-bd2b-09029b38753d,02105d8e-3b5a-40cc-8a47-a32e11b470a7,68.0,170.0,,,360.0,ATX Mid Tower,102.0,1,1
175c2034-adef-4a41-a5c7-0092e12d6194,87bb55b6-30ad-4002-a97b-0eb9118d12e7,52.0,180.0,,,360.0,ATX Mid Tower,128.0,1,1
c5a9508d-5851-44a9-8f4a-17de2a8e3a0f,bb32b5f1-8400-41fd-a526-008e0fdf5474,157.0,58.0,,,,HTPC,-99.0,0,0
0f209c92-bf00-4a8d-a345-2c76731aea28,cbc1b64a-62c6-4862-ba83-88a0d93d0944,158.0,68.0,,,,Mini ITX Tower,-90.0,0,0
e11421f1-fe94-49a3-89f6-1e0cb5f0e674,4a56c955-c321-4548-beb2-072fba10cfa5,157.0,155.0,,,,ATX Mid Tower,-2.0,0,0
a0cda1cb-a7f6-44f5-ad4b-448a932b277c,eeaac00c-faaf-44a1-b77b-0e564fa03c2d,116.0,70.0,140.0,2,280.0,HTPC,-46.0,0,0
881b46c7-760a-4ed7-aaa0-f118116a2ce9,811ea55d-5429-4cb5-b0e7-c70760f3f408,159.0,155.0,,,,Micro ATX Mini Tower,-4.0,0,0
3ee45b50-e8f1-409d-906f-3022959d1574,4df27121-ff57-4154-af17-c176fdbed6d7,163.0,170.0,,,,ATX Mid Tower,7.0,1,1
0b011d79-ae84-4800-959b-ac1ba8ad8e67,e8469e52-6fa5-41d9-a2fe-1004fbf739e4,153.0,150.0,120.0,1,,Micro ATX Mid Tower,-3.0,0,0
aafd99ae-8f92-45d7-b5ef-e60e25432e3e,e45f0260-97a6-4787-b264-33783e199d15,155.0,187.0,,,,Micro ATX Mid Tower,32.0,1,1
3c3965da-9f58-4ef8-b652-b0c974169d29,38128e27-09da-4be5-bb84-5b29685cebc1,154.0,145.0,,,,ATX Mid Tower,-9.0,0,0
