storage_id,motherboard_id,storage_type,storage_capacity,storage_form_factor,storage_interface,storage_nvme,motherboard_m2_slots,motherboard_pcie_slots,motherboard_pcie_x16_slots,motherboard_pcie_x8_slots,motherboard_pcie_x4_slots,motherboard_pcie_x1_slots,motherboard_pcie_gen3_slots,motherboard_pcie_gen4_slots,motherboard_pcie_gen5_slots,motherboard_pcie_max_gen,motherboard_form_factor,motherboard_ram_type,storage_m2_slot_ok,label
39835a25-5208-4d3d-917e-830eca168b09,6c0c8880-d5e6-484e-aae7-a8533542c9a2,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR4,0,0
522c6a84-2237-45fc-a3a3-25c917db4363,126d341b-0eca-4f3b-b7ce-5452e0a9e236,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x8,true,2,4,3,0,0,1,0,4,0,4.0,ATX,DDR4,1,1
0a60bddc-4201-4508-8390-2e842a2a4382,e296c8a0-48cc-4f15-9fbf-08b85a1416b0,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,Micro ATX,DDR3,0,0
d6f31515-7f5d-4fae-9664-b72b00c74581,f5dd7b4c-06f4-4bbf-b989-239539c0b823,SSD,1000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,ATX,DDR3,0,0
b00cdf00-9171-4033-8137-362c174fb433,0d84e1ec-e4f9-4e58-969f-0758bd3fec83,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,3,2,1,0,0,1,0,2,0,4.0,Micro ATX,DDR5,1,1
2a0ed2d9-e812-402f-a2a1-8e0bbd8868e8,626f8537-4f69-416d-97ca-77e842b19d5d,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,3,1,1,0,0,0,0,1,0,4.0,Mini ITX,DDR4,1,1
29d72b05-aa3e-4690-9c05-a5fc7636fbb0,07ab287c-4346-4e36-b0fb-060c37e4c098,SSD,2000.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,2,0,0,0,0,2,0,4.0,Micro ATX,DDR3,0,0
ba517234-b211-4498-a412-26e73e93033b,c8b97a97-14b1-42ec-b84a-b22e31356bc2,SSD,1000.0,m.2-2280,m.2 pcie 3.0 x4,true,3,4,2,0,0,2,0,4,0,4.0,Micro ATX,DDR4,1,1
b449b2bc-2016-4f2d-bdd1-081d54fd1fd9,1851b749-2c45-44ba-bc69-14bf10906995,SSD,512.0,m.2-2280,m.2 pcie 4.0 x4,true,0,2,1,0,1,0,0,2,0,4.0,Micro ATX,DDR3,0,0
6f100bcd-25f9-4ab0-85cf-2420820e7191,1c2d661c-9e9b-4d72-b664-98ab63dbb478,SSD,256.0,m.2-2280,m.2 pcie 3.0 x4,true,0,4,2,0,0,2,0,4,0,4.0,ATX,DDR3,0,0
ae6cca62-36bb-4813-947b-48ec07b1e6c6,98cc0e14-c33e-4584-a706-0e86db6c20fb,SSD,4000.0,m.2-2280,m.2 pcie 5.0 x4,true,0,4,3,0,0,1,0,4,0,4.0,ATX,DDR3,0,0
b35fb759-6f7e-48ce-9e87-337892b745db,2b228908-6c30-418b-a210-13475cc91d9e,SSD,512.0,m.2-2280,m.2 pcie 3.0 x4,true,0,3,1,0,0,2,0,3,0,4.0,ATX,DDR3,0,0
9a0ce7b6-93e8-4ed1-9408-8f49f5535568,c79fd6f6-5e1c-4484-8ada-b88eb29e6a65,SSD,500.0,m.2-2280,m.2 pcie 3.0 x4,true,3,4,2,0,0,2,0,4,0,4.0,ATX,DDR4,1,1
d5335dbd-def3-4ac4-bba3-d0e46299a522,fcfa1168-f3fd-46a7-8636-5fdbcf19216e,SSD,960.0,m.2-2280,m.2 pcie 3.0 x4,true,3,3,3,0,0,0,0,3,0,4.0,ATX,DDR5,1,1
