opendb_id,name,manufacturer,chipset,chipset_manufacturer,memory_gb,memory_type,core_count,base_clock,boost_clock,tdp,length_mm,slot_width,expansion_slots_required,interface,power_12vhpwr,power_12v_2x6,power_6_pin,power_8_pin,radiator_size_mm,clock_gain,compute_score,performance_per_watt
540e4e1f-5c57-4f8e-9288-e85c3fbf0fd7,MSI GeForce RTX 5050 8G VENTUS 2X OC GDDR6,MSI,GeForce RTX 5050,NVIDIA,8.0,GDDR6,2560,2317.0,2602.0,130.0,197.0,2.05,2.0,PCIe 5.0 x8,0,0,0,1,,285.0,6661120.0,51239.3846
55be5edb-dad5-4724-8519-7fc0dec87435,ASUS Dual RTX 5070 EVO OC,ASUS,GeForce RTX 5070,NVIDIA,12.0,GDDR7,6144,2325.0,2572.0,250.0,229.0,3.0,2.0,PCIe 5.0 x16,,1,,,,247.0,15802368.0,63209.472
124d272b-02bc-4e79-89da-72c35e456992,ASUS Dual GeForce RTX 5070 EVO 12GB GDDR7,ASUS,GeForce RTX 5070,NVIDIA,12.0,GDDR7,6144,2325.0,2512.0,250.0,229.0,2.5,2.0,PCIe 5.0 x16,0,1,0,0,,187.0,15433728.0,61734.912
4632739e-129b-42d9-ade0-5909a6a7c80e,Gigabyte Radeon RX 9060 XT GAMING OC ICE 16G GDDR6,Gigabyte,Radeon RX 9060 XT 16 GB,AMD,16.0,GDDR6,2048,1900.0,3320.0,160.0,281.0,2.0,2.0,PCIe 5.0 x16,0,0,0,1,,1420.0,6799360.0,42496.0
23c7cf5a-33c6-4cef-a39e-d9ff46b4399b,Gigabyte Radeon RX 9070 XT GAMING OC ICE 16G,Gigabyte,Radeon RX 9070 XT,AMD,16.0,GDDR6,4096,1660.0,2520.0,330.0,288.0,2.7,2.0,PCIe 5.0 x16,0,0,0,3,,860.0,10321920.0,31278.5455
210bf4ea-2872-4a7a-bbd5-c2dcb15ce3fd,MSI GeForce RTX 5090 32G VENTUS 3X GDDR7,MSI,GeForce RTX 5090,NVIDIA,32.0,GDDR7,21760,2017.0,2407.0,575.0,325.0,3.35,3.0,PCIe 5.0 x16,0,1,0,0,,390.0,52376320.0,91089.2522
c4be19f3-f5a5-4fc7-be68-d8db5b996360,MSI GeForce RTX 5090 32G VENTUS 3X OC GDDR7,MSI,GeForce RTX 5090,NVIDIA,32.0,GDDR7,21760,2017.0,2437.0,575.0,325.0,3.35,3.0,PCIe 5.0 x16,0,1,0,0,,420.0,53029120.0,92224.5565
1f377fb3-9ff1-49f7-9ac0-91c07f067828,MSI GeForce RTX 5090 32G VANGUARD SOC GDDR7,MSI,GeForce RTX 5090,NVIDIA,32.0,GDDR7,21760,2017.0,2512.0,575.0,357.0,3.8,2.0,PCIe 5.0 x16,0,1,0,0,,495.0,54661120.0,95062.8174
10938d3c-28dd-47c2-a97c-2810195ba0cd,MSI SUPRIM SOC GeForce RTX 5090 32 GB GDDR7,MSI,GeForce RTX 5090,NVIDIA,32.0,GDDR7,21760,2017.0,2565.0,575.0,359.0,3.8,2.0,PCIe 5.0 x16,0,1,0,0,,548.0,55814400.0,97068.5217
91ed58a8-893f-4b18-bec4-79bc7e3ac834,MSI GeForce RTX 5090 32G GAMING TRIO 32GB GDDR7,MSI,GeForce RTX 5090,NVIDIA,32.0,GDDR7,21760,2017.0,2407.0,575.0,359.0,3.5,2.0,PCIe 5.0 x16,0,1,0,0,,390.0,52376320.0,91089.2522
2dde33c6-4c73-4b03-b566-bf65b850feca,MSI GeForce RTX 5080 16G VENTUS 3X BLACK OC,MSI,GeForce RTX 5080,NVIDIA,16.0,GDDR7,10752,2295.0,2640.0,360.0,303.0,2.45,2.0,PCIe 5.0 x16,0,1,0,0,,345.0,28385280.0,78848.0
